〒	(ゆうびん)
詆	(テイ)(タイ)〜(そし・る)(しか・る)
楴	(テイ)
地	(チ)(ジ)〜(どま)『ヂ『つち
弟	(テイ)(ダイ)(デ)〜(おとうと)(て)『おと『おとと『おとひと
俤	(おもかげ)(てい)
帝	(テイ)〜(みかど)『タイ
逓	〔遞〕逓。(テイ)〜(かわ・る)(たがいに)
第	(ダイ)(テイ)
蒂	{蒂}蔕。(テイ)(タイ)〜(へた)『ほぞ
棣	(テイ)(タイ)〜(にわざくら)
睇	(テイ)(ダイ)
遞	〔遞〕逓。(テイ)〜(かわ・る)(たがいに)
蔕	{蒂}蔕。(テイ)(タイ)〜(へた)『ほぞ
締	(テイ)〜(し・まる)(し・まり)(し・める)(し・め)(じ・め)
諦	(テイ)(タイ)〜(あき・らめる)(あきら・める)(つまびらか)(まこと)
滇	てん
槙	〔槇〕槙。(テン)(シン)〜(まき)(こずえ)
顛	(テン)〜(いただき)(たお・れる)
巔	{巔}巓。テン
巓	{巔}巓。(テン)〜(いただき)
癲	(テン)
丶	(チュ)〜(てん)
典	(テン)(デン)〜(すけ)(つね)(の)(のり)『さかん
点	{點}点。(テン)〜(つ・ける)(つ・く)(た・てる)(さ・す)(とぼ・す)(とも・す)(ぼち)『ちょぼ
点火	{點火}点火。とぼし
椣	(しで)
點	{點}点。(テン)〜(つ・ける)(つ・く)(た・てる)(さ・す)(とぼ・す)(とも・す)(ぼち)『ちょぼ
點火	{點火}点火。とぼし
佃	(テン)(デン)〜(つくだ)『つくりだ
甸	(デン)(テン)〜(かり)
店	(テン)〜(みせ)(たな)
淀	{淀}澱。(テン)(デン)〜(よど・む)『おり『よど
奠	(テン)(デン)(テイ)〜(さだ・める)(まつ・る)
電	(デン)『いなずま『テン
鈿	(デン)(テン)〜(かんざし)
殿	(デン)(テン)〜(との)(どの)(て)(どん)『あらか『しんがり
澱	{淀}澱。(デン)(テン)〜(おり)(ど・ろ)(よど・み)(よど・む)『よど
簟	(タン)(テン)〜(たかむしろ)
癜	(デン)(テン)〜(なまず)『なまづ
凋	(チョウ)〜(しぼ・む)『テウ
彫	{雕}彫。(チョウ)〜(ほ・る)(ぼ・り)『テウ
貂	(チョウ)〜(てん)
鳭	つき
雕	{雕}彫。(チョウ)〜(きざ・む)(わし)(ほ・る)『テウ
簓	(ささら)
鯛	(チョウ)〜(たい)『たひ
弔	{吊}弔。(チョウ)〜(とむら・う)(とぶら・う)『テウ
吊	{吊}弔。(チョウ)〜(つ・る)(つる・す)『テウ『とむらう
掉	(トウ)(チョウ)〜(ふる・う)
釣	(チョウ)〜(つ・る)(つ・り)(つ・り)(つり)『テウ
調	(チョウ)〜(しら・べる)(しら・べ)(ととの・う)(ととの・える)(ぎ)(つぎ)『つき『テウ『みつぎ
跌	(テツ)〜(あやまつ)(つまず・く)
迭	(テツ)
垤	(テツ)〜(ありづか)
耋	(テツ)〜(としより)
喋	(チョウ)(トウ)〜(しゃべ・る)(ついば・む)
畳	{疊}畳。(ジョウ)(チョウ)〜(たた・む)(たたみ)(かさ・なる)『デフ
牒	(チョウ)(ジョウ)〜(ふだ)『テフ
蝶	(チョウ)『テフ
疂	(ジョウ)(チョウ)〜(たた・む)(たたみ)(かさ・なる)(かさ・ねる)
諜	(チョウ)〜(ちょう・ずる)(うかが・う)(しめ・す)『テフ
疉	(ジョウ)(チョウ)〜(たた・む)(たたみ)(かさ・なる)
鰈	(チョウ)(トウ)〜(かれい)『かれひ
疊	{疊}畳。(ジョウ)(チョウ)〜(たた・む)(たたみ)(かさ・なる)(かさ・ねる)『デフ
丁	(チョウ)(テイ)(チン)(トウ)(チ)〜(ひのと)『チャウ『チヤウ『よほろ
叮	(テイ)
町	(チョウ)〜(まち)『チャウ『チヤウ
甼	(チョウ)〜(みち)
疔	(テイ)(チョウ)『チヤウ
釘	(テイ)(チョウ)〜(くぎ)
酊	(テイ)〜(よう)
頂	(チョウ)〜(いただ・く)(いただき)『チャウ
鼎	(テイ)〜(かなえ)『へ
定	(テイ)(ジョウ)〜(さだ・める)(さだ・まる)(さだ・か)(さた)『ヂャウ『ヂヤウ
訂	(テイ)『ただす
碇	(テイ)〜(いかり)
聢	(しか)(しかと)
錠	(ジョウ)『ヂャウ『ヂヤウ｜ジヤウ
冬	(トウ)〜(ふゆ)
苳	(トウ)〜(ふき)
東	(トウ)〜(ひがし)(あい)(あがり)(あずま)(あづま)(こ)(さき)(しの)(とお)(はる)(ひが)(もと)『ひむかし『ひんがし
鮗	(このしろ)
鼕	(トウ)
鶇	(トウ)(ツ)〜(つぐみ)
鶫	(トウ)(ツ)〜(つぐみ)
董	(トウ)〜(ただ・す)
諌	(カン)〜(いさ・め)(いさ・める)
洞	(ドウ)〜(ほら)(とう)『うつお『うつほ『うつろ『うろ
恫	(ドウ)(トウ)〜(いた・む)
胴	(ドウ)
凍	(トウ)〜(こお・る)(こご・える)(こご・る)(い・てる)(し・みる)(こおり)
凍り	こおり『こほり
動	{動}働。(ドウ)〜(うご・く)(うご・かす)(るぎ)『ドウẎ『はたらく『ややもすれば
棟	(トウ)〜(むね)(むな)
働	{動}働。(ドウ)(リュク)(リキ)(ロク)(リョク)〜(はたら・く)『ドウẎ
都	〔都〕都。(ト)(ツ)〜(みやこ)(くに)(ず)(ち)(づめ)(みや)
兜	(トウ)(ト)〜(かぶと)
抖	(ト)(トウ)
蚪	(ト)
斗	{鬥}斗。(ト)(トウ)〜(ます)(とます)
斗掻き	とかき
豆	{豆}荳。(トウ)(ズ)〜(まめ)(まめ)(ど)(ま)『ヅ
荳	{豆}荳。(トウ)(ズ)〜(まめ)
逗	(トウ)(ズ)〜(とど・まる)
鬥	{鬥}斗。(とうがまえ)(たたかいがまえ)『たたかう『ト『トウ『とます『ます
鬥搔き	とかき
酘	(トウ)
痘	(トウ)『もがさ
闘	{鬥}闘。(トウ)〜(たたか・う)(あらそ・う)(と)
鬪	(トウ)〜(たたか・う)(あらそ・う)
竇	(トウ)(トク)〜(あな)
鬭	{鬥}鬭。たたかう『トウ
督	(トク)〜(ただ)(ただし)『かみ
闍	(ト)(ジャ)
毒	(ドク)
独	〔獨〕独。(ドク)(トク)〜(ひと・り)(どいつ)(どっ)
涜	{瀆}涜。(トク)(トウ)〜(けが・す)(けが・れ)(みぞ)
読	{讀}読。(ドク)(トク)(トウ)〜(よ・む)(よ・み)(よみ)
獨	〔獨〕独。(ドク)(トク)〜(ひと・り)
瀆	{瀆}涜。トク
犢	(トク)〜(こうし)
犢鼻褌	たふさぎ『とうさぎ『ふどし『ふんどし
牘	(トク)〜(かきもの)(ふだ)
髑	(ドク)(トク)
讀	{讀}読。(ドク)(トク)(トウ)〜(よ・む)
黷	(トク)〜(けが・す)(けが・れる)
堵	(ト)〜(かき)
睹	(ト)〜(み・る)
覩	(ト)〜(み・る)
賭	(ト)〜(か・ける)(かけ)
篤	(トク)〜(あつ・い)
杜	(ト)(トウ)(ズ)〜(もり)(ふさ・ぐ)(やまなし)『ヅ
杜父魚	かじか
杜松	むろ
肚	(ト)〜(はら)
妒	{妒}妬。そねむ『ト『ねた『ねたむ『やく
妬	{妒}妬。(ト)(ツ)〜(ねた・む)(そね・む)(つも・る)(ふさ・ぐ)『ねた『やく
度	(ド)(ト)(タク)〜(たび)(た・い)(のり)『たんび『はかる『より
渡	(ト)〜(わた・る)(わた・る)(わた・す)(お)(たり)(わたな)(わたら)(わたり)
鍍	(ト)〜(めっき)
蠧	(ト)〜(きくいむし)
蠹	(ト)〜(きくいむし)
端	(タン)〜(はし)(は)(はた)(ばた)(はな)(ただし)(みず)『つま『はじ『はした『へた
短	(タン)〜(みじか・い)『みじか
段	(ダン)(タン)『きざ『きだ
段階	きざはし『きだはし
断	{斷}断。(ダン)〜(た・つ)(ことわ・る)(さだ・める)
葮	(ダン)(タン)〜(むくげ)
椴	(タン)(ダン)(トド)〜(むくげ)
緞	(ドン)(タン)
鍛	(タン)〜(きた・える)(か)
斷	{斷}断。(ダン)〜(た・つ)(ことわ・る)(さだ・める)
堆	(タイ)(ツイ)〜(うずたか・い)
兌	(ダ)(エイ)(エツ)(タイ)〜(よろこ・ぶ)(で)
対	{對}対。(タイ)(ツイ)〜(あいて)(こた・える)(そろ・い)(つれあ・い)(なら・ぶ)(むか・う)(つし)
隊	(タイ)
碓	(カク)(タイ)〜(たし・か)(かく・たる)(う)(うす)
對	{對}対。(タイ)(ツイ)〜(あいて)(こた・える)(そろ・い)(つれあ・い)(なら・ぶ)(むか・う)(つし)
惇	(シュン)(ジュン)(トン)〜(あつ・い)(あつし)(あつ)(まこと)(とし)(つとむ)
敦	(トン)(タイ)(ダン)(チョウ)〜(あつ・い)(あつ)(あつし)(つる)(のぶ)(のり)
墩	とん
噸	(トン)
燉	(トン)
蹲	(ソン)(シュン)〜(つくば・う)(うずくま・る)『つくばい『つくばひ
蹲踞	つくばい『つくばひ
鐓	(タイ)〜(いしづき)
沌	(トン)〜(くら・い)
盾	(ジュン)〜(たて)
遁	(トン)(シュン)〜(のが・れる)
鈍	(ドン)〜(にぶ・い)(にぶ・る)(にぶ)(なま・る)(なまく・ら)『おそ『にび『のろ『のろい
楯	(ジュン)〜(たて)『たた
頓	(トン)(トツ)〜(にわか・に)(とん・と)(つまず・く)(とみ・に)(ぬかずく)『とみ『ひたすら『ひたぶる
遯	(トン)〜(のが・れる)
多	(タ)〜(おお・い)(まさ・に)(まさ・る)『さは『さわ
夛	(タ)〜(おお・い)(まさ・に)(まさ・る)
咄	(トツ)〜(はなし)(しか・る)(はな)
鈬	(タク)
奪	(ダツ)〜(うば・う)
鐸	(タク)〜(すず)『さなき『ぬて『ぬりて
朵	{朵}朶。ダ
朶	{朵}朶。(ダ)(タ)〜(えだ)
躱	(タ)〜(かわ・す)
陏	(ダ)〜(ずい)
柮	(トツ)
舵	(ダ)(タ)〜(かじ)『かぢ
堕	〔墮〕堕。(ダ)〜(お・ちる)(くず・す)(くず・れる)『おとす
惰	(ダ)
墮	〔墮〕堕。(ダ)〜(おち・る)(くず・す)(くず・れる)『おとす
婀	(ア)〜(あだ)(あだ・っぽい)(たおやか)
囮	(カ)(ユウ)〜(おとり)『を
俄	(ガ)〜(にわか)『にはか
莪	(ガ)
峨	(ガ)〜(けわ・しい)
峩	(ガ)〜(けわ・しい)
娥	(ガ)〜(みめよ・い)
訛	(カ)〜(なま・る)(なま・り)(あやま・る)『クヮ
蛾	(ギ)(ガ)〜(ひむし)『ひいる『ひひる
鵝	(ガ)
鵞	(ガ)
額	(ガク)〜(ひたい)(ぬか)『ひたひ
譌	(カ)〜(なま・る)(あやま・る)
鵈	(とび)
厄	(ヤク)
阨	(ヤク)(アイ)(アク)〜(せま・い)(ふさが・る)(せま・る)
扼	(ヤク)(アク)〜(おさ・える)
咢	(ガク)〜(おどろく)
姶	(オオ)(オウ)(アイ)〜(あい)
堊	(アク)(ア)(オ)〜(いろつち)(しろつち)
軛	(ヤク)(アク)〜(くびき)
悪	{惡}悪。(アク)(オ)〜(わる・い)(わる)(あ・し)(にく・い)(にく・い)(ああ)(いずくに)(いずくんぞ)(にく・む)『ヲ
鄂	(ガク)
惡	{惡}悪。(アク)(オ)〜(わる・い)(あ・し)(にく・い)(ああ)(いずくに)(いずくんぞ)(にく・む)『わる『ヲ
萼	(ガク)〜(うてな)
遏	(アツ)〜(とど・める)(と・める)
愕	(ガク)〜(おどろ・く)
腭	あぎ『あご
蕚	(ガク)〜(うてな)
餓	(ガ)〜(う・える)『かつえる
諤	(ガク)〜(わめ・く)(あご)
鍔	(ガク)〜(つば)『つみは
顎	(ガク)〜(あご)(あぎと)『あぎ
顎門	あぎと
鶚	(ガク)〜(みさご)
鰐	(ガク)〜(わに)
齶	(ガク)〜(あご)(はぐき)
恩	(オン)〜(めぐみ)
儿	(ジン)(ニン)〜(がい)(にんにょう)(ひとあし)
而	(ジ)(ニ)〜(しこ・うして)(しか・して)(しか・も)(しか・れども)(すなわち)(なんじ)(しかるに)
児	{兒}児。(ジ)(ニ)(ゲイ)〜(こ)(こ)(っこ)(る)『ちご『やや
兒	{兒}児。(ジ)(ニ)(ゲイ)〜(こ)(ちご)『やや
粫	(メン)
轜	(ジ)〜(ひつぎぐるま)(じしゃ)
尓	(ジ)(ニ)〜(なんじ)(しかり)(その)(のみ)
耳	(ジ)〜(みみ)(がみ)『ニ『のみ
耳廢	{耳廢}耳癈。しひ『みみしい
耳癈	{耳廢}耳癈。しひ『みみしい
迩	(ジ)(ニ)〜(ちか・い)(ちかし)
珥	(ジ)〜(みみだま)
爾	(ジ)(ニ)〜(なんじ)(しかり)(その)(のみ)(ちか)(しか)(み)『おれ『それ『んぢ
餌	(ジ)(ニ)〜(え)(えば)(えさ)(もち)『ゑ
邇	(ジ)(ニ)〜(ちか・い)
二	(ニ)(ジ)〜(ふた)(ふた・つ)(ふたた・び)(おと)(つぐ)(にい)(は)(ふ)(ふたつ)(ふだ)(わ)『アル『ふう
二十	はたち
二十歲	{二十歲}二十歳。はたち
二十歳	{二十歲}二十歳。はたち
弍	(ニ)(ジ)〜(ふた)(ふた・つ)(ふたた・び)
弐	{貳}弐。(ニ)(ジ)〜(ふた・つ)(そえ)『すけ
貮	(ニ)(ジ)〜(ふた・つ)(そえ)
貳	{貳}弐。(ニ)(ジ)〜(ふた・つ)(そえ)『すけ
発	{發}発。(ハツ)(ホツ)〜(た・つ)(あば・く)(おこ・る)(つか・わす)(はな・つ)(ば)(わ)『ひらく
發	{發}発。(ハツ)(ホツ)〜(た・つ)(あば・く)(おこ・る)(つか・わす)(はな・つ)(ば)『ひらく
廢	{廢}癈。(ハイ)〜(すた・れる)(すた・る)『しい『しひ
醗	{醱}醗。(ハツ)〜(かも・す)
乏	(ボウ)〜(とぼ・しい)(とも・しい)『ボフ
伐	(バツ)(ハツ)(カ)(ボチ)〜(き・る)(そむ・く)(う・つ)
筏	(バツ)(ハツ)(ボチ)〜(いかだ)
閥	(バツ)
罰	(バツ)(バチ)(ハツ)〜(ばっ・する)
罸	(バツ)(バチ)(ハツ)〜(はっ・する)
法	(ホウ)(ハッ)(ホッ)(フラン)〜(のり)(ほ)『のっとる『ハフ『ホフ
琺	(ホウ)
髪	{髮}髪。(ハツ)〜(かみ)(がた)(ひげ)『くし
髮	{髮}髪。(ハツ)〜(かみ)『くし
帆	(ハン)〜(ほ)
番	(バン)〜(つが・い)(は)(ま)『つがう
蕃	(バン)(ハン)〜(しげ)(しげる)(ば)
幡	(マン)(ハン)(バン)(ホン)〜(はた)(は)(わた)
旙	(ヘン)(ハン)〜(はた)
藩	(ハン)
翻	{翻}繙。(ホン)(ハン)〜(ひるがえ・る)(ひるがえ・す)『ひもとく
旛	(ヘン)(ハン)〜(はた)(ば)
飜	〔飜〕翻。(ハン)(ホン)〜(ひるが・えす)(ひるが・える)
凡	(ボン)(ハン)〜(およ・そ)(おうよ・そ)(すべ・て)(なみ)(ひろ)(みな)『おお『おおし『おおよそ『おほ『おぼ『おほし
籵	(デカメートル)
煩	(ハン)(ボン)〜(わずら・う)(わずら・わす)
樊	(ハン)〜(まがき)
膰	(ハン)〜(ひもごり)(ひもろぎ)
燔	(ハン)〜(や・く)
繁	〔繁〕繁。(ハン)〜(しげ・る)(しげ・く)『しげ『しげし
繙	{翻}繙。(ハン)(ホン)〜(ひもと・く)
礬	(バン)(ハン)
鐇	(ハン)『たつぎ
鷭	(ハン)(バ)〜(ばん)
攵	(ホク)〜(のぶん)(ぼくづくり)(ぼくにょう)
反	(ハン)(ホン)(タン)(ホ)〜(そ・る)(そ・らす)(かえ・す)(かえ・る)(かえ・る)(そり)(た)『かえって
払	〔拂〕払。(フツ)(ヒツ)(ホツ)〜(はら・う)(はら・い)(ばら・い)(はらい)
辺	{邊}辺。(ヘン)〜(あた・り)(ほと・り)(べ)(なべ)『へ『へた
仮	{假}仮。(カ)(ケ)〜(かり)(かり)
返	(ヘン)〜(かえ・す)(かえ・す)(かえ・る)(かえ・る)
犯	(ハン)(ボン)〜(おか・す)
氾	(ハン)〜(ひろ・がる)
汎	{泛}汎。(ハン)(ブ)(フウ)(ホウ)(ホン)〜(ただよ・う)(ひろ・い)(ひろ)(ひろし)(みな)
泛	{泛}汎。(ハン)(ホウ)〜(うか・ぶ)
范	{范}範。(ハン)〜(いがた)『のり
梵	(ボン)(フウ)
販	(ハン)『ひさぐ
笵	(ハン)(ボン)〜(のり)
飯	(ハン)〜(めし)(い)(いい)(いり)(え)『いひ『ボン『まま『まんま
飯櫃	いびつ
範	{范}範。(ハン)〜(のり)
匚	(ホウ)〜(はこがまえ)
方	(ホウ)〜(かた)(かた)(がた)(から)(な)(なた)(ふさ)(まさ)(みち)(も)(わ)『え『けた『さま『ハウ『へ『べ『まさに
坊	(ボウ)(ボッ)『バウ『ぼん
芳	(ホウ)〜(かんば・しい)(お)(かおる)(は)(ほ)(みち)(やす)(よし)『ハウ
枋	(ホウ)(ヘイ)〜(ほ)
錺	(かざり)
防	(ボウ)〜(ふせ・ぐ)(あた)(う)(ほう)『つつみ『バウ
妨	(ボウ)〜(さまた・げる)『バウ
肪	(ボウ)『あぶら『バウ
房	(ボウ)〜(ふさ)(お)(のぶ)(わ)『ハウ『バウ『ホウ
魴	(ホウ)〜(かがみたい)(おしきうお)(かがみだい)
仿	{仿}倣。ならう『ハウ『ホウ
倣	{仿}倣。(ホウ)〜(なら・う)『ハウ
舫	(ホウ)〜(もや・う)(もやいぶね)
紡	(ボウ)〜(つむ・ぐ)『バウ
紡錘	つむ
訪	(ホウ)〜(おとず・れる)(たず・ねる)(と・う)(わ)『ハウ
髣	(ホウ)
放	(ホウ)〜(はな・す)(っぱな・し)(はな・つ)(はな・れる)(こ・く)(ほう・る)(はなれ)『ハウ
妃	(ヒ)〜(きさき)(き)(ぴ)(み)『きさい『みめ
非	(ヒ)〜(あら・ず)『そしる
飛	(ヒ)〜(と・ぶ)(と・ばす)(と・ばす)(あす)(とび)
飛ぶ火	とぶひ
飛白	かすり
飛蝗	ばった
飛礫	つぶて
菲	(ヒ)〜(うす・い)
暃	(ヒ)
扉	(ヒ)〜(とびら)
蜚	(ヒ)〜(あぶらむし)
緋	(ヒ)〜(あけ)(あか)
霏	(ヒ)〜(もや)
鯡	(ヒ)〜(にしん)(はららご)
肥	(ヒ)〜(こ・える)(こえ)(こ・やす)(こ・やし)(ふと・る)(い)(こい)(ひえ)
腓	(ヒ)〜(ふくらはぎ)(こむら)(こぶら)
朏	(ヒ)(ハイ)〜(みかづき)
匪	(ヒ)〜(あら・ず)(かたみ)
斐	(ヒ)(イ)〜(あや)
榧	(ヒ)〜(かや)
翡	(ヒ)
誹	(ヒ)(ハイ)〜(そし・る)
吠	(ハイ)(ベイ)〜(ほえ・る)(ほ・える)
肺	(ハイ)
狒	(ヒ)〜(ひひ)
沸	(フツ)〜(わ・く)(わ・かす)『にえ
廃	〔廢〕廃。(ハイ)〜(すた・れる)(すた・る)
費	(ヒ)〜(つい・やす)(つい・える)『あたい『あたえ『あたひ『あたへ
癈	{廢}癈。(ハイ)『しい『しひ
分	(ブン)(フン)(ブ)〜(わ・ける)(わ・け)(わ・かれる)(わ・かる)(わ・かつ)(いた)(わけ)
芬	(フン)〜(かおり)(こうば・しい)
吩	(フン)〜(ふ・く)
瓰	(デシグラム)
氛	{氛}雰。(フン)
竕	(デシリットル)
紛	(フン)〜(まぎ・れる)(まぎ・れ)(まぎ・らす)(まぎ・らわす)(まぎ・らわしい)『まがう
雰	{氛}雰。(フン)
汾	(フン)
枌	(ショウ)(フン)〜(まつ)(そぎ)
焚	(フン)(ホン)(ハン)〜(た・く)(や・く)(やきがり)
粉	(フン)(デシメートル)〜(こ)(こな)
忿	(フン)〜(いか・る)(いかり)
墳	(フン)
憤	(フン)〜(いきどお・る)
奮	(フン)〜(ふる・う)
糞	(フン)〜(くそ)『ばば
封	(フウ)(ホウ)『ふ
風	(フウ)(フ)〜(かぜ)(かざ)(かぜ)(い)(え)『て『ふり
峯	(ホウ)〜(みね)(ね)
峰	(ホウ)〜(みね)(ね)(ぶ)(ほ)『お『フ『を
烽	(ホウ)〜(のろし)(とぶひ)
楓	(フウ)〜(かえで)『おかつら『かつら『かへで
蜂	(ホウ)〜(はち)(ほ)
瘋	(フウ)
鋒	(ホウ)〜(ほこ・さき)『きっさき『ほこ
豐	{豐}豊。(ホウ)(ブ)〜(ゆた・か)(とよ)
逢	(ホウ)〜(あ・う)(むか・える)(あい)(おう)
馮	(ヒョウ)(フ)(フウ)〜(たの・む)(よ・る)
縫	(ホウ)〜(ぬ・う)(ぬい)
諷	(フウ)〜(そら・んじる)
奉	(ホウ)(ブ)〜(たてまつ・る)(まつ・る)(ほう・ずる)(とも)(やす)
俸	(ホウ)
鳳	(ホウ)(フウ)〜(おおとり)(ふげ)
仏	{佛}仏。(ブツ)(フツ)〜(ほとけ)
佛	{佛}仏。(ブツ)(フツ)〜(ほとけ)(さらぎ)
梻	しきび『しきみ
缶	〔罐〕缶。(カン)〜(かま)(ふ)(べ)(ほとぎ)『クヮン『クワン
否	(ヒ)〜(いな)(いや)『ふ
夫	(フ)(フウ)(ブ)〜(おっと)(そ・れ)(お)(と)(ゆう)(よ)『おうと『おとこ『おひと『せ『そ『ぢ『つま『ひこじ『を『をつと
麸	(フ)〜(ふすま)
趺	(シ)(フ)〜(あし)
稃	かい『かひ
筟	くだ
孵	(フ)〜(か・えす)『かえる
麩	{麩}麬。(フ)〜(ふすま)
敷	(フ)〜(し・く)(し・き)(しき)(にゅう)
敷き寝	しきね
敷き寢	しきね
敷き瓦	がはら『しきがわら
膚	(フ)〜(はだ)『はだえ『へ
麬	{麩}麬。ふすま
弗	(フツ)(ホチ)〜(どる)(ず)
伏	(フク)〜(ふ・せる)(ふ・す)(ふし)(ふせ)『ブク
扶	(フ)〜(たす・ける)
芙	(フ)〜(はす)
孚	(フ)〜(たまご)(はぐく・む)
拂	〔拂〕払。(ヒツ)(フツ)(ホツ)〜(はら・う)
苻	(フ)
彿	(フツ)
服	(フク)〜(はっ)(はつ)(はら)『ブク『ぷく
怫	(フツ)(ハイ)(ヒ)
茯	(フク)(ブク)(ヒ)(ビ)
枹	(フ)(ホウ)〜(ほ)(ばち)『なら
畉	(フ)〜(たがや・す)
罘	(フ)〜(うさぎあみ)
俘	(フ)〜(とりこ)
俘虜	とりこ
鳬	(フ)〜(けり)(かも)
郛	(フ)〜(くるわ)
祓	(フツ)(ハイ)〜(はら・う)『はらい『はらえ『はらひ『はらへ
莩	ひより
浮	(フ)〜(う・く)(う・かれる)(う・かぶ)(む)(う・かべる)(うき)『ブ
浮（き）草	うきくさ
浮き萍	うきくさ
桴	(フ)〜(ばち)(いかだ)
符	(フ)
匐	(ホク)(フク)
幅	(フク)〜(はば)『の『ぶく『ぷく
蜉	(フ)
鳧	(フ)〜(けり)(かも)
艀	(フ)〜(はしけ)
福	〔福〕福。(フク)〜(とし)(とみ)(ふ)(ふき)(ふっ)(ぼく)(よし)『さいわい
榑	(フ)〜(くれ)
箙	(フク)〜(えびら)
髴	(フツ)
蝠	(フク)
輻	(フク)〜(や)
黻	(フツ)〜(あや)
鮲	こち
甫	(ホ)(フ)〜(はじ・めて)(はじめ)(とし)(なみ)(すけ)(よし)
拊	(フ)〜(は・る)(うつ)(な・でる)
斧	(フ)〜(おの)『よき『をの
府	(フ)〜(い)(う)(お)(はん)
俯	(フ)〜(ふ・す)(うつむ・く)(ふ・せる)
釜	(フ)〜(かま)『かま
釡	(フ)〜(かま)
椨	(たぶ)(たふ)『たぶのき
腑	(フ)〜(はらわた)
輔	(ホ)(フ)〜(たす・ける)(すけ)(たすく)(ゆう)『つらがまち
輔車	つらがまち
腐	(フ)〜(くさ・る)(くさ・る)(くさ・れる)(くさ・れ)(くさ・らす)(くさ・す)
撫	(ブ)(フ)〜(な・でる)(なで)(なでし)(む)
黼	(フ)(ホ)〜(あや)
父	(フ)〜(ちち)『かぞ『しし『ち『ちゃん『てて『とと『ブ『ホ
付	(フ)〜(つ・ける)(つ・ける)(づ・ける)(つ・け)(つ・け)(つ・け)(づ・け)(づけ)(つ・く)(づ・く)(つ・き)(つ・き)(つき)(づ・き)(づき)(つけ)
附	(フ)〜(つ・ける)(つ・く)(ずき)(づけ)『ブ
坿	(フ)
咐	(フ)(ホ)
阜	(フ)(フウ)〜(おか)(ぎふのふ)『つかさ
赴	(フ)〜(おもむ・く)
柎	(フ)〜(うてな)
負	(フ)〜(ま・ける)(ま・かす)(お・う)『おぶう『ブ
訃	(フ)〜(しらせ)
副	(フク)〜(そい)(そえ)『すけ『そう『そえる
冨	(フ)(フウ)〜(と・む)(とみ)(と)
婦	(フ)〜(ね)『おんな『ブ『よめ
傅	(フ)〜(かしず・く)(つく)(もり)(でん)『めのと
復	(フク)〜(また)『かえす『かえる
富	(フ)(フウ)〜(と・む)(とみ)(と)(とん)(ふっ)
腹	(フク)〜(はら)
複	(フク)
賦	(フ)(ブ)〜(うた)
蝮	(フク)〜(まむし)『くちばみ『はみ
輹	(フク)〜(とこしばり)
鮒	(ホ)(フ)(ブ)〜(ふな)
縛	(バク)〜(しば・る)『いましめる
賻	(フ)
覆	(フク)〜(おお・う)(くつがえ・す)(くつがえ・る)『フウ
馥	(クク)(ヒョク)(フク)〜(か)(かお・る)『かおり
鰒	(フク)〜(あわび)(ふぐ)『あはび
袱	(フク)
伽	(カ)(ガ)(キャ)(ギャ)〜(とぎ)
呷	(コウ)〜(あお・る)(す・う)
垓	(ガイ)(カイ)〜(はて)
該	(ガイ)
改	(カイ)〜(あらた・める)(あらた・まる)
丐	(カイ)〜(こ・う)
乢	(ガイ)〜(たわ)(たお)
盖	(ガイ)(カイ)(コウ)〜(ふた)(けだ・し)(おお・う)(かさ)(かこう)
葢	(ガイ)(カイ)(コウ)〜(ふた)(けだ・し)(おお・う)(かさ)(かこう)
蓋	(ガイ)(カイ)(コウ)〜(ふた)(けだ・し)(おお・う)(かさ)(かこう)
概	〔槪〕概。(ガイ)〜(おうむ・ね)『おおむね『とかき
漑	(ガイ)(カイ)〜(そそ・ぐ)
槪	〔槪〕概。ガイ
甘	(カン)〜(あま・い)(あま・える)(あま・やかす)(うま・い)(かも)『あまんずる『うま
肝	(カン)〜(きも)
坩	(カン)〜(つぼ)
泔	ゆする
柑	(コン)(カン)
竿	(カン)〜(さお)『さを
疳	(カン)
扞	(カン)〜(ふせ・ぐ)
杆	{杆}桿。(カン)〜(てこ)
桿	{杆}桿。(カン)〜(てこ)
敢	(カン)〜(あ・えて)(あ・えない)(あ・えず)
稈	(カン)〜(わら)
稈心	みご
感	(カン)
橄	(カン)
干	(カン)〜(ほ・す)(ほ・し)(ぼ・し)(ひ・る)(ほし)『たて『ひ『ふ
干し飯	いひ『ほしいい
淦	(カン)(コン)〜(あか)
紺	(コン)
骭	(カン)〜(はぎ)
幹	(カン)〜(みき)(つよし)(まさ)(もと)『から
肛	(コウ)『カウ
矼	(コウ)〜(ばし)
岡	(コウ)〜(おか)『をか
缸	(コウ)〜(かめ)
剛	(ゴウ)〜(かた)(こう)(ご)(たか)(たけ)(たけし)(つよ)(つよし)(ひさ)(まさ)(よし)『カウ『ガウ
崗	(コウ)〜(おか)『カウ
棡	(コウ)
堽	(コウ)
綱	(コウ)〜(つな)『カウ
鋼	(コウ)〜(はがね)『カウ
港	(コウ)〜(みなと)『カウ
杠	{杠}槓。(コウ)〜(てこ)(ゆずりは)『カン
槓	{杠}槓。(コウ)〜(てこ)『カン
皋	{皋}皐。(コウ)〜(さつき)『カウ
高	(コウ)〜(たか・い)(たか)(だか)(たか・まる)(たか・める)(か)(こ)(じょい)(た)(はか)『カウ
羔	(コウ)〜(こひつじ)
皐	{皋}皐。(コウ)〜(さつき)(たかし)『カウ
睾	(コウ)
