〒	(ゆうびん)
勹	(ホウ)〜(つつ・む)(つつみがまえ)
包	{包}髱。(ホウ)〜(つつ・む)(くる・む)(お)(かね)『たぼ『つと『ハウ『パオ
苞	(ホウ)(ヒョウ)〜(つと)『ハウ
苞苴	つと
胞	(ホウ)『ハウ
褒	〔襃〕褒。(ホウ)〜(ほ・める)
襃	〔襃〕褒。(ホウ)〜(ほ・める)
雹	(ハク)(ヒョク)(ボク)〜(ひょう)
薄	(ハク)〜(うす・い)(うす)(うす)(うす・める)(うす・まる)(うす・らぐ)(うす・ら)(うす・れる)(すすき)
宀	(ベン)(メン)〜(うかんむり)
宝	〔寶〕宝。(ホウ)〜(たから)(ほ)
保	(ホ)(ホウ)〜(たも・つ)(う)(お)(ぶ)(もり)(やす)(やすし)『やすんずる
葆	(ホウ)(ホ)〜(し・げる)
堡	(ホ)(ホウ)〜(とりで)
飽	(ホウ)〜(あ・きる)(あ・かす)(あ・く)(あき)(あく)『ハウ
褓	(ホ)(ホウ)〜(むつき)
鴇	(ホウ)〜(とき)(のがん)『つき
寳	(ホウ)〜(たから)(み)
寶	〔寶〕宝。(ホウ)〜(たから)(たか)
抱	(ホウ)〜(だ・く)(いだ・く)(かか・える)(たば)『ハウ
豹	(ヒョウ)(ホウ)『ヘウ
報	(ホウ)〜(むく・いる)『しらせ『しらせる
鉋	{刨}鉋。(ホウ)(ビョウ)〜(かんな)
靤	(ホウ)〜(にきび)
髱	{包}髱。(ホウ)〜(たぼ)『つと
暴	(ボウ)(バク)〜(あば・く)(あば・れる)
鮑	(ホ)(ホウ)〜(あわび)『あはび
爆	(バク)〜(は・ぜる)『はじける
爆米	はぜ
陂	(ヒ)(ハ)〜(つつみ)
杯	{杯}盃。(ハイ)〜(さかずき)『つき『づき『はた
卑	〔卑〕卑。(ヒ)〜(いや・しい)(いや・しむ)(いや・しめる)
盃	{杯}盃。(ハイ)〜(さかずき)『づき
悲	(ヒ)〜(かな・しい)(かな・しむ)
碑	〔碑〕碑。(ヒ)〜(いしぶみ)『いしぶみ『えりいし『ゑり
鵯	(ヒ)(ヒツ)〜(ひよどり)『ひえどり
北	(ホク)〜(きた)(きら)(ほう)(ほっ)(ほつ)
孛	(ハイ)(ブツ)(ボツ)
貝	{貝}蛽。(バイ)〜(かい)『かひ
背	(ハイ)〜(せ)(せい)(そむ・く)(そむ・ける)『せな『そ『そびら
倍	(バイ)〜(べ)(ます)
狽	(ケン)(バイ)(ハイ)
悖	(ハイ)(ボツ)〜(もと・る)
被	(ヒ)〜(こうむ・る)(おお・う)(かぶ・る)(かぶ・せる)(ぎぬ)『かずき『かずく『かつぎ『かづき『きせ『ふすま
被り	かぶり
被衣	かずき『かつぎ『かづき
琲	(ハイ)〜(つらぬく)
備	(ビ)〜(そな・える)(そな・わる)(つぶさ・に)(びっ)(びん)
焙	(ホウ)(ハイ)〜(ほう・じる)(あぶ・る)『バイ『ハウ『ホイṬ
碚	(ハイ)
蛽	{貝}蛽。ばい
輩	(ハイ)〜(ばら)(やから)(やかい)(ともがら)
憊	(ハイ)(ヘイ)〜(つか・れる)
糒	(ビ)(ハイ)〜(ほしい)(ほしい・い)『いひ『ほしひ
鞴	(ヒ)(ビ)(フク)〜(ふいご)『がう『がは『ふいごう『ふきがわ
唄	(バイ)〜(うた)(うた・う)
奔	(ホン)『はしる
賁	(フン)(ヒ)(ホン)
犇	(ホン)〜(ひし・めく)(ひしひし)(は・しる)
本	(ホン)〜(もと)(まと)『ぼん『ぽん
夲	(ホン)〜(もと)
畚	(ホン)〜(もっこ)(ふご)
笨	(ホン)〜(あら・い)(がさ)
崩	(ホウ)〜(くず・れる)(くず・れ)(くず・す)
絣	(ホウ)〜(かすり)
繃	(ホウ)(ヒョウ)〜(まく)(たば・ねる)
迸	(ホウ)(ヒョウ)〜(ほとば・しる)(は・しる)
皀	(キュウ)(ヒョク)(キョウ)(コウ)
逼	(フク)(ヒツ)(ヒョク)(ヒキ)〜(せま・る)(むかばき)
柲	ふる
鼻	(ビ)〜(はな)
嬶	(かか)(かかあ)
匕	(ヒ)〜(さじ)(さじのひ)『かい『かひ
比	(ヒ)〜(くら・べる)(い)(ぴっ)『ころ『ごろ『たぐい
妣	(ヒ)〜(なきはは)
彼	(ヒ)〜(かれ)(かの)(か・の)(その)『あ『あの『あれ『か
彼方	おち『おと『をち『をと
秕	{秕}粃。(ヒ)〜(しいな)『しひな
俾	(フ)(ヒ)(ヘイ)〜(かしずく)(しむ)
粃	{秕}粃。(ヒ)〜(しな)(しいな)『しひな
筆	(ヒツ)〜(ふで)(くし)『ふみて『ふんで
鄙	(ヒ)〜(ひな)(ひな・びる)(いや・しい)
必	(ヒツ)〜(かなら・ず)
庇	(ヒ)〜(ひさし)(おお・う)(かば・う)
陛	(ヘイ)『きざはし
畢	(ヒツ)〜(おわ・る)(あみ)(おわ・り)(ことごとく)『おえる
閉	(ヘイ)〜(と・じる)(と・ざす)(し・める)(し・まる)(た・てる)(へ)
閇	(ヘイ)〜(と・じる)(と・ざす)(し・める)(し・まる)(た・てる)
敝	(ヘイ)〜(やぶ・れる)
婢	(ヒ)〜(はしため)
愎	(フク)(ヒョク)〜(もと・る)
弼	(ヒツ)〜(たす・ける)(ゆだめ)(すけ)(たすく)
蓖	(ヒ)(ヘイ)
痹	{痹}痺。しびれ『しびれる『ヒ
痺	{痹}痺。(ヒ)〜(しび・れる)『しびれ
裨	(ヒ)〜(おぎな・う)(たす・ける)(ます)
碧	(ヘキ)(ヒャク)〜(みどり)(あお)(たま)『あおい
鞁	(ヒ)
蔽	(ヘイ)(ヘツ)(フツ)〜(おお・う)(おお・い)
箆	(ヘイ)(ハイ)〜(へら)(の)(くし)
弊	(ヘイ)『ついえる
幣	(ヘイ)〜(ぬさ)(しで)『にきて『まい『まひ『みてぐら
幣帛	にきて『みてぐら
幤	(ヘイ)〜(ぬさ)
薜	(ヘイ)
篳	(ヒチ)(ヒツ)〜(まがき)
篦	(ヘイ)(ハイ)〜(へら)(の)
壁	(ヘキ)〜(かべ)
壁蝨	だに
避	(ヒ)〜(さ・ける)(よ・ける)
嬖	(ヘイ)〜(きにいり)
蹕	(ヒツ)〜(さきばらい)
髀	(ヒ)(ヘイ)〜(もも)
斃	(ヘイ)〜(たお・れる)(たお・す)
臂	(ヒ)〜(ひじ)『ただむき『ひぢ
璧	(ヘキ)〜(たま)
襞	(ヘキ)(ヒャク)〜(ひだ)(しわ)
躄	(ヘキ)〜(いざ・る)(いざ・り)『ゐ
贔	(ヒ)
鐴	へら
蝙	(ヘン)〜(こうもり)
編	(ヘン)〜(あ・む)(あ・み)『ふ『ぺん
邉	(ヘン)〜(あた・り)(ほと・り)(べ)(なべ)
鞭	(ベン)(ヘン)〜(むち)(むちうつ)『ぶち
邊	{邊}辺。(ヘン)〜(あた・り)(ほと・り)(べ)(なべ)『へ『へた
釆	(ハン)(ベン)〜(と)(いろどり)(うね)(のごめ)
扁	(ヘン)〜(ひらたい)
貶	(ヘン)〜(おとし・める)(おと・す)『けなす
褊	(ヘン)〜(せま・い)
卞	(ベン)(ヘン)(ハン)
弁	〔辨瓣辯〕弁。(ベン)(ヘン)〜(わきま・える)(わ・ける)(はなびら)(あらそ・う)(べ)
抃	(ベン)〜(う・つ)
汳	(ヘン)(ベン)
峅	(くら)
便	(ベン)(ビン)〜(たよ・り)『すなわち『よすが
変	{變}変。(ヘン)〜(か・わる)(か・わり)(か・える)
遍	(ヘン)〜(あまね・く)『あまねし『べん『ぺん
