過	EgOL_冎口辶〔CJK〕
𡬇	AApCAsAWw_宀爿卝罒冖不〔ExtB〕
𡬖	AApCAsAWuWu_宀爿卝罒冖火火〔ExtB〕
𡬓	AApCAsAXjiAXy_宀爿卝罒冖冖又〔ExtB〕
㝲	AApCAsAXjiAYj_宀爿卝罒冖彐冖巾〔ExtA〕
𡫺	AApCAsAXy_宀爿卝罒冖又〔ExtB〕
𪧵	AACMuMuNv_宀宀木木女〔ExtC〕
䍛	AsAkCiO_罒囗十口〔ExtA〕
𤗄	ApAc_片囱〔ExtB〕
𤗍	ApADxiZi_片宀夕⺋〔ExtB〕
寱	AApEiMu_宀爿自木〔CJK〕
𨷚	AmAEsGb_門宀貝〔ExtB〕
䆿	AvApEiMu_穴爿自木〔ExtA〕
𤗇	ApAvFg_片工〔ExtB〕
㸜	ApAvFg_爿穴工〔ExtA〕
𨴵	AmAFGsi_門宀厶〔ExtB〕
𧟮	AxAkF_覀囗〔ExtB〕
𧶻	AhuAhuGb_戶戶貝〔ExtB〕
𨞵	AhuAhuGbTe_戶戶貝阝〔ExtB〕
寤	AApHuO_宀爿五口〔CJK〕
寎	AApHiARn_宀爿一冂人〔CJK〕
𥧃	AvApHiARn_穴爿一冂人〔ExtB〕
𦋠	AsAHiBoHi_罒宀一日一〔ExtB〕
𡫖	AAsHiBoYi_宀罒一日〔ExtB〕
戼	AhuAhu_戶戶〔CJK〕
𢨯	AhuAhu_戶戶〔ExtB〕
𢨳	AhuAhu_户户〔ExtB〕
𣶒	ApApHi_片爿一〔ExtB〕
𪔥	ApApHiIzuXc_片爿一壴支〔ExtB〕
𩰝	AdAHiLhGb_鬥宀一貝〔ExtB〕
𦋳	AsAsHiLh_罒罒一止〔ExtB〕
𨓯	ApApHiL_片爿一辶〔ExtB〕
寰	AAsHiOYi_宀罒一口〔CJK〕
𠖄	AAHiO_冖冂一口〔ExtB〕
𨴏	AmAHiO_門冂一口〔ExtB〕
𤖾	ApAHiO_片冂一口〔ExtB〕
窹	AvApHuO_穴爿五口〔CJK〕
䆚	AvAHiO_穴冂一口〔ExtA〕
圜	AkAsHiOYi_囗罒一口〔CJK〕
闤	AmAsHiOYi_門罒一口〔CJK〕
阛	AmAsHiOYi_门罒一口〔CJK〕
𢩠	AhuAsHiOYi_戶罒一口〔ExtB〕
牖	ApAhuHp_片户甫〔CJK〕
𡪗	AApHiRjO_宀爿一亼口〔ExtB〕
𡫧	AApHiXjiAEmu_宀爿一彐冖目〔ExtB〕
寣	AApIi_宀爿言〔CJK〕
牑	ApAhuIce_片户〔CJK〕
圐	AkAsIf_囗罒方〔CJK〕
𤗐	ApAhuIf_片户方〔ExtB〕
𥨉	AvApIi_穴爿言〔ExtB〕
𡩩	AApIzO_宀爿亡口〔ExtB〕
𩖈	AsAsJgNrEye_罒罒弓大頁〔ExtB〕
𡚇	AsAsJgNr_罒罒弓大〔ExtB〕
⿵	AAk_冂囗〔文字序列〕
⿻	AkAk_囗囗〔文字序列〕
𡩽	AApKlY_宀爿龙〔ExtB〕
𢃹	AAvLYj_冂夂巾〔ExtB〕
寐	AApMw_宀爿未〔CJK〕
闁	AmAm_門門〔CJK〕
閫	AmAkMu_門囗木〔CJK〕
阃	AmAkMu_门囗木〔CJK〕
𥧌	AvApMw_穴爿未〔ExtB〕
闄	AmAxNv_門覀女〔CJK〕
𤖡	ApANrVbBoWi_爿宀大丷日小〔ExtB〕
𨴣	AmANv_門宀女〔ExtB〕
扃	AhuAO_户冂口〔CJK〕
𥩒	AvApOCAWuWu_爿口艹冖火火〔ExtB〕
𨴀	AmAO_門冂口〔ExtB〕
𫁋	AvAO_冂口〔ExtC〕
	AAp_宀爿〔私用区〕
𪧇	AAp_宀爿〔ExtC〕
𨴥	AmAPHz_門宀丿七〔ExtB〕
𨳭	AmAp_門〔ExtB〕
	ApAp_爿片〔私用区〕
	ApAp_片爿〔私用区〕
㸞	ApAp_片片〔ExtA〕
𤕰	ApAp_爿〔ExtB〕
窻	AvAcQi_穴囱心〔CJK〕
𥨷	AvApQbuEgO_爿⺊冎口〔ExtB〕
牕	ApAcQi_片囱心〔CJK〕
𪺠	ApAcQi_爿囱心〔ExtC〕
𠖟	AAxQsJd_冖覀示刂〔ExtB〕
𨷛	AmAQiPKc_門宀心丿虫〔ExtB〕
𡨫	AAQs_宀宀示〔ExtB〕
𡈜	AkAxQs_囗覀示〔ExtB〕
𡬋	AApRAsATuO_宀爿⺈罒冖土口〔ExtB〕
𨳻	AmARe_門宀儿〔ExtB〕
𥤷	AvARe_冖儿〔ExtB〕
𪭙	AhuARnO_户冂人口〔ExtC〕
𥦻	AvARnPpYj_冂人几巾〔ExtB〕
𨳙	AmARu_門冂入〔ExtB〕
𨵷	AmAkRnUm_門囗人皿〔兼容增补〕
𡪁	AApRjZO_宀爿亼乛口〔ExtB〕
闉	AmAxTu_門覀土〔CJK〕
䦡	AmATd_門宀㠯〔ExtA〕
圛	AkAsTuKy_囗罒土〔CJK〕
𡫈	AAxTuKq_宀覀土犬〔ExtB〕
䦴	AmAsTuKy_門罒土〔ExtA〕
𡇵	AkATo_囗宀石〔ExtB〕
𨷤	AmAsTuOYi_門罒土口〔ExtB〕
𥛛	AAxTuQs_冖西土示〔ExtB〕
𡫚	AAxTuQs_宀覀土示〔ExtB〕
𦊤	AsATs_罒冖山〔ExtB〕
𨶵	AmAxTuTe_門覀土阝〔ExtB〕
𡨾	AAxTu_宀覀土〔ExtB〕
𡇽	AkAxTu_囗覀土〔ExtB〕
𬮱	AmAxTu_门覀土〔ExtE〕
𤎟	AAxTuWu_宀覀土火〔ExtB〕
𨳷	AmAUbi_門宀匕〔ExtB〕
㝥	AApUi_宀爿米〔ExtA〕
𩜕	AhuAhuUs_戶戶〔ExtB〕
𡫊	AAxUx_宀覀辛〔ExtB〕
𥩂	AvAxUiXp_覀米攵〔ExtB〕
𨵄	AmAVeRe_門宀二儿〔ExtB〕
𨶍	AmAkWiBo_門囗⺌曰〔ExtB〕
𪧏	AAkWu_宀囗火〔ExtC〕
𡪶	AApWuWu_宀爿火火〔ExtB〕
寢	AApXjiAXy_宀爿彐冖又〔CJK〕
𡧳	AAx_宀西〔ExtB〕
寝	AApXjiAXy_宀丬彐冖又〔CJK〕
𡫔	AApXjiAEmu_宀爿冖目〔ExtB〕
𥨊	AvApXjiAXy_爿冖又〔ExtB〕
𡪷	AApXjiAYj_宀爿彐冖巾〔ExtB〕
𡫒	AApXjiAYjXy_宀爿冖巾又〔ExtB〕
𦌃	AsAkXCi_罒囗十〔ExtB〕
𦋶	AsAkXHi_罒囗一〔ExtB〕
𡪘	AApXm_宀爿釆〔ExtB〕
𨳠	AmAX_門冂㐅〔ExtB〕
閪	AmAx_門西〔CJK〕
闙	AmAhuXpO_門户攵口〔CJK〕
𦊔	AsAkXy_罒囗又〔ExtB〕
𡩑	AAsYi_宀罒〔ExtB〕
𡩲	AAsYi_宀罒衣〔ExtB〕
䙶	AxAYi_西冖𧘇〔ExtA〕
𦊳	AsAZsi_罒冖巳〔ExtB〕
間	AmBo_門日〔CJK〕
𣇱	ABoABo_冂日冂日〔ExtB〕
𡩷	ABoANv_宀日宀女〔ExtB〕
𨶁	AmBoANv_門日宀女〔ExtB〕
𥧭	AvBoAsXy_曰罒又〔ExtB〕
閶	AmBoBo_門日曰〔CJK〕
䥌	ABoBoJr_宀日日金〔ExtA〕
𦍄	AsBoBoKluGsiGsi_罒日日厶厶〔ExtB〕
阊	AmBoBo_门日曰〔CJK〕
覃	AxBoCi_覀日十〔CJK〕
䚓	AxBoCiEr_覀日十見〔ExtA〕
𥦍	AvBoCg_日廾〔ExtB〕
𢍔	AvBoCg_㓁日廾〔ExtB〕
𨴝	AmBoCi_門日十〔ExtB〕
𫅃	AvBoCi_⺳日十〔ExtC〕
鷣	AxBoCiKi_覀日十鳥〔CJK〕
𫜃	AxBoCiKi_覀日十鸟〔ExtC〕
𩀽	AxBoCiKz_覀日十隹〔ExtB〕
𨝸	AxBoCiTe_覀日十阝〔ExtB〕
𡨕	ABoCv_宀日〔ExtB〕
𩙀	AxBoCiWf_覀日十風〔ExtB〕
𤑶	AxBoCiWuWu_覀日十火火〔ExtB〕
𨵛	AmBoDv_門日月〔ExtB〕
闒	AmBoEv_門⺜羽〔CJK〕
𨷄	AmBoElBo_門日耂日〔ExtB〕
覸	AmBoEr_門日見〔CJK〕
