過	EgOL_冎口辶〔CJK〕
⻫	Iq_齐〔部首补充〕
⻬	Iq_齐〔部首补充〕
⿑	Iq_齐〔康熙部首〕
𠫸	Iq_齐〔ExtB〕
𠫼	Iq_齐〔ExtB〕
𪗄	Iq_齐〔ExtB〕
旚	IfQAxQs_方覀示〔CJK〕
𧨼	IiQbuAc_言⺊〔ExtB〕
𫑉	IfQAHiOL_方冂一口辶〔ExtC〕
㫎	IfQALc_方冖車〔ExtA〕
㫏	IfQAxNv_方覀女〔ExtA〕
𣃰	IfQARn_方冂人〔ExtB〕
𣃴	IfQAkRn_方囗人〔ExtB〕
𣃷	IfQbuAkRn_方⺊囗人〔ExtB〕
㫋	IfQATu_方冂土〔ExtA〕
𣃳	IfQAkXy_方囗又〔ExtB〕
𣄐	IfQAvYj_方穴巾〔ExtB〕
卞	IQbu_亠卜〔CJK〕
𪯸	IfQBa_方白〔ExtC〕
竨	IhQbuBoCi_立⺊日十〔CJK〕
𧨳	IiQbuBoCi_言⺊日十〔ExtB〕
𥩖	IhQbu_立卜〔ExtB〕
𠢻	IQvBoHiFi_亠非日一力〔ExtB〕
𫁬	IhQBoHiPkY_立日一勹〔ExtC〕
訃	IiQbu_言卜〔CJK〕
讣	IiQbu_讠卜〔CJK〕
𪰄	IfQBoKcFg_方日虫工〔ExtC〕
𥪚	IhQBoL_立日夊〔ExtB〕
𣃧	IfQBo_方日〔ExtB〕
𣃵	IfQBoS_方日丨〔ExtB〕
𣄙	IfQBoWr_方日光〔ExtB〕
許	IiQCi_言十〔CJK〕
𧪶	IiQiCiANz_言忄十冖子〔ExtB〕
譕	IiQCxiHiWu_言卌一灬〔CJK〕
许	IiQCi_讠十〔CJK〕
旌	IfQCp_方生〔CJK〕
旃	IfQDa_方丹〔CJK〕
𣃯	IfQDa_方丹〔ExtB〕
𣃽	IfQDxiDxi_方夕夕〔ExtB〕
𩔣	IfQDaEye_方丹頁〔ExtB〕
旎	IfQEsiUbi_方尸匕〔CJK〕
𩔽	IfQEmuEye_方目頁〔ExtB〕
𩙴	IfQEf_方飛〔ExtB〕
𣄘	IfQEgu_方〔ExtB〕
旄	IfQEm_方毛〔CJK〕
旇	IfQEp_方皮〔CJK〕
𪯽	IfQEmuXy_方目又〔ExtC〕
	IfQ_方〔私用区〕
謉	IiQg_言鬼〔CJK〕
𩳄	IaQg_曲鬼〔ExtB〕
𫖙	IbQbuGb_音⺊貝〔ExtC〕
𩲌	IfQg_方鬼〔ExtB〕
𫍷	IiQg_讠鬼〔ExtC〕
𣃻	IfQGs_方甲〔ExtB〕
𩱿	IzQg_亡鬼〔ExtB〕
𩲉	IzQg_亡鬼〔ExtB〕
旆	IfQHiYj_方一巾〔CJK〕
𢥭	IbQiHiEiL_音心一自夊〔ExtB〕
𪰀	IfQHiGaCg_方一田廾〔ExtC〕
𧧎	IiQbuHiHiQbu_言⺊一一卜〔ExtB〕
让	IiQbuHi_讠⺊一〔CJK〕
㫌	IfQHiLh_方一止〔ExtA〕
𪯶	IfQHiNr_方一大〔ExtC〕
㫊	IfQHo_方可〔ExtA〕
諔	IiQbuHiWiXy_言⺊一小又〔CJK〕
𩐡	IbQbuHiWi_音⺊一小〔ExtB〕
𧧌	IiQbuHiWi_言⺊一小〔ExtB〕
𣄊	IfQHiZWu_方一ㄅ灬〔ExtB〕
忘	IzQi_亡心〔CJK〕
𢜖	IaQi_㐭心〔ExtB〕
㤟	IaQi_曲心〔ExtA〕
旜	IfQIaBoHi_方㐭日一〔CJK〕
𣄕	IfQIb_方音〔ExtB〕
𢘁	IceQi_心〔ExtB〕
𢘼	IceQi_册心〔ExtB〕
𣄢	IfQIhGaTu_方立田土〔ExtB〕
訫	IiQi_言心〔CJK〕
悥	IiQi_言心〔CJK〕
𧮊	IiQgIi_言鬼言〔ExtB〕
𣄞	IfQIbJge_方音〔ExtB〕
𢗻	IvQi_六心〔ExtB〕
忞	IxQi_文心〔CJK〕
𢝫	IzuQi_壴心〔ExtB〕
族	IfQJsi_方矢〔CJK〕
𢳈	IfQJsiFs_方矢手〔ExtB〕
𪟒	IfQJsiJd_方矢刂〔ExtC〕
鷟	IfQJsiKi_方矢鳥〔CJK〕
𧐈	IfQJsiKc_方矢虫〔ExtB〕
𬸦	IfQJsiKi_方矢鸟〔ExtE〕
𩺯	IfQJsiKv_方矢魚〔ExtB〕
𩀥	IfQJsiKz_方矢隹〔ExtB〕
旂	IfQJn_方斤〔CJK〕
𣃩	IfQJgQbu_方弓〔ExtB〕
䥆	IQvJr_亠非金〔ExtA〕
𢄧	IfQJsiYj_方矢巾〔ExtB〕
鷾	IbQiKi_音心鳥〔CJK〕
𣄠	IfQKqKqKq_方犬犬犬〔ExtB〕
𣄦	IfQKluWu_方灬〔ExtB〕
𩁈	IbQiKz_音心隹〔ExtB〕
𧮓	IiQgKz_言鬼隹〔ExtB〕
旋	IfQL_方疋〔CJK〕
𩕇	IfQLzEye_方舟頁〔ExtB〕
𥪱	IfQLIh_方疋立〔ExtB〕
䗠	IfQLKc_方疋虫〔ExtA〕
𪍧	IfQLUm_方疋麥〔ExtB〕
𢄲	IfQLYj_方疋巾〔ExtB〕
𣃼	IfQLz_方舟〔ExtB〕
𧭵	IiQgMw_言鬼未〔ExtB〕
誨	IiQNm_言母〔CJK〕
𪰅	IfQNsBoEe_方氏日耳〔ExtC〕
𣄑	IfQNrBoZ_方大日乚〔ExtB〕
旖	IfQNrHo_方大可〔CJK〕
𩕲	IfQNrHoEye_方大可頁〔ExtB〕
𣃹	IfQNi_方民〔ExtB〕
遊	IfQNzL_方子辶〔CJK〕
诲	IiQNm_讠母〔CJK〕
𣃮	IfQNs_方氏〔ExtB〕
斿	IfQNz_方子〔CJK〕
站	IhQbuO_立⺊口〔CJK〕
𪯴	IfQbuO_方⺊口〔ExtC〕
𪬳	IzQiOGb_亡心口貝〔ExtC〕
詀	IiQbuO_言⺊口〔CJK〕
𧮪	IiQbuO_讠⺊口〔ExtB〕
𣄨	IfQOOGaCiJn_方口口田十斤〔ExtB〕
𣄧	IfQOQGbL_方口丄貝辶〔ExtB〕
𧪊	IiQbuOWu_言⺊口灬〔ExtB〕
謐	IiQiPUm_言心丿皿〔CJK〕
𣃬	IfQPCg_方丿廾〔ExtB〕
𣃲	IfQPd_方凡〔ExtB〕
䛑	IiQiP_言心丿〔ExtA〕
斻	IfQPp_方几〔CJK〕
𧨨	IiQiPTs_言心丿山〔ExtB〕
谧	IiQiPUm_讠心丿皿〔CJK〕
𣁆	IxQiP_文心丿〔ExtB〕
𧩇	IiQiPx_言心及〔ExtB〕
𣃦	IfQPkY_方勹〔ExtB〕
詐	IiQQ_言〔CJK〕
诈	IiQQ_讠〔CJK〕
旐	IfQReSbSb_方儿冫〔CJK〕
旝	IfQRjAkWiBo_方亼囗⺌曰〔CJK〕
𣄀	IfQRnGw_方人王〔ExtB〕
𣃭	IfQRnJ_方人〔ExtB〕
𩇰	IQvRn_亠非人〔ExtB〕
𣃨	IfQRnRn_方人人〔ExtB〕
𪬫	IbQiRS_音心⺈亅〔ExtC〕
㫍	IfQRnSXp_方亻丨攵〔ExtA〕
旍	IfQRjZd_方亽龴〔CJK〕
禀	IaQs_㐭示〔CJK〕
𠅺	IaQs_㐭示〔ExtB〕
𥜘	IaQs_㐭示〔ExtB〕
𥚪	IqQs_齐示〔ExtB〕
𧫔	IiQvTu_言土〔ExtB〕
旗	IfQUgaCv_方〔CJK〕
𪰃	IfQUgaCvVbF_方丷〔ExtC〕
旊	IfQUw_方瓦〔CJK〕
𣄉	IfQUy_方酉〔ExtB〕
誹	IiQv_言非〔CJK〕
诽	IiQv_讠非〔CJK〕
旞	IfQVbKsiL_方丷豕辶〔CJK〕
旒	IfQWvSp_方〔CJK〕
旓	IfQWiDv_方⺌⺝〔CJK〕
𣄖	IfQWf_方風〔ExtB〕
𣃥	IfQWi_方小〔ExtB〕
𧧂	IiQWi_言小〔ExtB〕
𣄡	IfQWuWuWu_方火火火〔ExtB〕
旛	IfQXmGa_方釆田〔CJK〕
𣄪	IfQXxExHiWu_方囟一火〔ExtB〕
旟	IfQXxHiZSCv_方一ㄅ丨〔CJK〕
𧪌	IiQbuXjiLh_言⺊龰〔ExtB〕
𪯳	IfQXy_方又〔ExtC〕
施	IfQYe_方也〔CJK〕
膂	IfQYiDv_方⺝〔CJK〕
膐	IfQYiErr_方肉〔CJK〕
𧦧	IiQYe_言也〔ExtB〕
𫍟	IiQYe_讠也〔ExtC〕
䞄	IfQYeGb_方也貝〔ExtA〕
旅	IfQYi_方〔CJK〕
𧜏	IQvYi_亠非衣〔ExtB〕
𣄆	IfQYi_方衣〔ExtB〕
旅	IfQYi_方〔兼容文字〕
𥩷	IhQYi_立〔ExtB〕
斾	IfQYj_方巾〔CJK〕
䗐	IfQYeKc_方也虫〔ExtA〕
𧪁	IiQYeL_言也辶〔ExtB〕
𫁜	IiQYeLToRR_言也辶石〔ExtC〕
𡟕	IfQYeNv_方也女〔ExtB〕
訖	IiQZyi_言乙〔CJK〕
𠨛	IzQiZi_亡心卩〔ExtB〕
𠂫	IQbuZn_亠卜乃〔ExtB〕
𣃿	IfQZUv_方乚北〔ExtB〕
𤍋	IiQZyiWu_言乙灬〔ExtB〕
讫	IiQZyi_讠乙〔CJK〕
䇄	IhQZyi_立乙〔ExtA〕
於	IfRnSb_方人゛〔CJK〕
譮	IiRjAkWiBo_言亼囗⺌曰〔CJK〕
讂	IiRAvEmuL_言⺈目夊〔CJK〕
𧭦	IiRAvEmuXp_言⺈目攴〔ExtB〕
㪱	IxRANr_文⺈冂大〔ExtA〕
謒	IiRnAhuO_言人口〔CJK〕
𥫁	IhRjAkWiBo_立亼囗⺌曰〔ExtB〕
亱	IRnBoHi_亠亻日一〔CJK〕
夜	IRnDv_亠亻〔CJK〕
𩐗	IbRD_音㇏〔ExtB〕
𩁡	IiRnDxiDxiKz_言亻夕夕隹〔ExtB〕
𧩀	IiRnDxiDxi_言亻夕夕〔ExtB〕
𣁑	IxRnDGw_文亻丶王〔ExtB〕
諭	IiRjDvJd_言亼⺝刂〔CJK〕
谕	IiRjDvJd_讠亼⺝刂〔CJK〕
諭	IiRjDvJd_言亼⺝刂〔兼容文字〕
鵺	IRnDvKi_亠亻鳥〔CJK〕
𨿤	IRnDvKz_亠亻隹〔ExtB〕
㖱	IRnDvO_亠亻口〔ExtA〕
𡖵	IRnDvQbuO_亠亻⺊口〔ExtB〕
諭	IiRjDvSp_言亼⺝巜〔兼容增补〕
竟	IbRe_音儿〔CJK〕
𠅜	IRnEdJd_亠亻歹刂〔ExtB〕
𠑽	IoRe_儿〔ExtB〕
亮	IoRe_儿〔兼容文字〕
𠅙	IoRe_高儿〔ExtB〕
𣄅	IfRnEo_方人〔ExtB〕
𪗑	IqREmuZL_齊⺈目㇗夊〔ExtB〕
詂	IiRnFc_言亻寸〔CJK〕
𧩨	IiRnFgJsi_言亻矢〔ExtB〕
詮	IiRnGw_言人王〔CJK〕
䛘	IiRnGr_言亻壬〔ExtA〕
诠	IiRnGw_讠人王〔CJK〕
𥫏	IbReHiEiL_音儿一自夊〔ExtB〕
𧨂	IiRnHo_言亻可〔ExtB〕
𠅚	IRnHiOX_亠亻一口〔ExtB〕
論	IiRjIce_言亼〔CJK〕
𣄇	IfRjIce_方亼〔ExtB〕
𧪺	IiRjIce_言亼〔ExtB〕
論	IiRjIce_言亼〔兼容文字〕
𧪃	IiRuIi_言入言〔ExtB〕
𧪄	IiRnIi_言亻言〔ExtB〕
竸	IbReIbRe_音儿音儿〔CJK〕
𧫘	IiReIiRe_言儿言儿〔ExtB〕
𣃢	IfRnIz_方人亡〔ExtB〕
斺	IfRnJ_方人〔CJK〕
𥩱	IhRnJge_立亻戈〔ExtB〕
䚸	IiRnJ_言人〔ExtA〕
𥩦	IhRnJyi_立亻弋〔ExtB〕
𩐰	IbRnKh_音人亥〔ExtB〕
𪅑	IbReKi_音儿鳥〔ExtB〕
𠅾	IvRKm_六⺈黾〔ExtB〕
𪜤	IRnKz_亠亻隹〔ExtC〕
𧧶	IiRjMu_言亼木〔ExtB〕
䛙	IiRnMu_言亻木〔ExtA〕
认	IiRn_讠人〔CJK〕
㫃	IfRn_方人〔ExtA〕
𡙴	IbReNr_音儿大〔ExtB〕
詥	IiRjO_言亼口〔CJK〕
𩐥	IbRjO_音亼口〔ExtB〕
𧩸	IiRjOCg_言亼口廾〔ExtB〕
𧬈	IiRjOEv_言亼口羽〔ExtB〕
𥩻	IhRjO_立亼口〔ExtB〕
䛇	IiReO_言儿口〔兼容增补〕
𠆅	IRnOMuMu_亠亻口木木〔ExtB〕
譣	IiRjOORnRn_言亼口口人人〔CJK〕
𨘰	IRjOORnRnL_亠亼口口人人辶〔ExtB〕
𣄝	IfRjOORnRn_方亼口口人人〔ExtB〕
𠆗	IqRjO_亼口〔ExtB〕
𠆋	IqRjO_亼口〔ExtB〕
𪯤	IxRjO_文亼口〔ExtC〕
𧧻	IiRnQQ_言亻〔ExtB〕
雜	IRnRnMuKz_亠人人木隹〔CJK〕
卒	IRnRnCi_亠人人十〔CJK〕
顇	IRnRnCiEye_亠人人十頁〔CJK〕
㲞	IRnRnCiEm_亠人人十毛〔ExtA〕
㰵	IRnRnCiEq_亠人人十欠〔ExtA〕
𦑋	IRnRnCiEv_亠人人十羽〔ExtB〕
𣖛	IRnRnCiHiMu_亠人人十一木〔ExtB〕
𪁽	IRnRnCiKi_亠人人十鳥〔ExtB〕
𨿼	IRnRnCiKz_亠人人十隹〔ExtB〕
𨔊	IRnRnCiL_亠人人十辶〔ExtB〕
𣦮	IRnRnCiLhJpHiLh_亠人人十止戊一〔ExtB〕
𤭢	IRnRnCiUw_亠人人十瓦〔ExtB〕
𡮇	IRnRnCiWi_亠人人十小〔ExtB〕
𪟼	IRnRnCiZsiZsiCCv_亠人人十巳巳艹〔ExtC〕
𨤫	IRnRnGaTu_亠人人田土〔ExtB〕
讖	IiRnRnJgeUh_言人人戈韭〔CJK〕
谶	IiRnRnJgeUh_讠人人戈韭〔CJK〕
𥀏	IRnRnMuEp_亠人人木皮〔ExtB〕
𣠛	IRnRnMuKzMu_亠人人木隹木〔ExtB〕
𥗱	IRnRnMuKzTo_亠人人木隹石〔ExtB〕
𠅃	IRnRn_亠人人〔ExtB〕
𧦁	IiRnRn_言人人〔ExtB〕
𡣼	IRnRnPqZCUNv_亠人人⺄屮凵女〔ExtB〕
𥪶	IhRnRnRnRnBo_立人人人人日〔ExtB〕
𧬢	IiRnRnRnRnBo_言人人人人日〔ExtB〕
𧭯	IiRnRnRnRnRnFFg_言亻人人人人工〔ExtB〕
𠆂	IoRnRnSRnRnS_人人丨人人丨〔ExtB〕
𧨀	IiRnRnTu_言人人土〔ExtB〕
誂	IiReSbSb_言儿冫〔CJK〕
𩩘	IfRnSbEgu_方人゛〔ExtB〕
𣃘	IfRnS_方人丨〔ExtB〕
𣄒	IfRnSbFsTu_方人゛土〔ExtB〕
𫁞	IhRS_立⺈亅〔ExtC〕
𨔆	IfRnSbL_方人゛辶〔ExtB〕
㫈	IfRnSbO_方人゛〇〔ExtA〕
旕	IfRnSbOUbi_方人゛口匕〔CJK〕
𥪐	IhReSbRnRn_立儿冫人人〔ExtB〕
𥩼	IhReSbSb_立儿冫〔ExtB〕
𫍥	IiReSbSb_讠儿冫〔ExtC〕
𣃶	IfRnSbTe_方人゛阝〔ExtB〕
㫇	IfRnSbZ_方人゛ヿ〔ExtA〕
乻	IfRnSbZyi_方人゛乙〔CJK〕
詭	IiRTcZi_言⺈厂⺋〔CJK〕
𧩩	IiRTcJsi_言⺈厂矢〔ExtB〕
譫	IiRTcVbIi_言⺈厂八言〔CJK〕
谵	IiRTcVbIi_讠⺈厂八言〔CJK〕
诡	IiRTcZi_讠⺈厂⺋〔CJK〕
㫉	IfRTcZi_方⺈厂⺋〔ExtA〕
諂	IiRUj_言⺈臼〔CJK〕
訛	IiRnUb_言亻〔CJK〕
论	IiRnUbi_讠人匕〔CJK〕
讹	IiRnUb_讠亻〔CJK〕
𤫹	IvRnUgu_六人瓜〔ExtB〕
谄	IiRUj_讠⺈臼〔CJK〕
㫅	IfRnVeJ_方人二〔ExtA〕
㫆	IfRnWi_方人小〔ExtA〕
𧦜	IiRnWi_言人小〔ExtB〕
𧦽	IiRWi_言⺈小〔ExtB〕
𧭎	IiRnWhKyD_言亻业⺶㇏〔ExtB〕
諍	IiRXv_言⺈〔CJK〕
诌	IiRXji_讠⺈彐〔CJK〕
𧬦	IiRXvRXv_言⺈⺈〔ExtB〕
竫	IhRXv_立⺈〔CJK〕
诤	IiRXv_讠⺈〔CJK〕
診	IiRnY_言人彡〔CJK〕
𧦭	IiRnYe_言亻也〔ExtB〕
诊	IiRnY_讠人彡〔CJK〕
諗	IiRjZQi_言亽ヿ心〔CJK〕
䪩	IbRjZ_音亽ヿ〔ExtA〕
詅	IiRjZd_言亽龴〔CJK〕
𣃠	IfRjZd_方亽龴〔ExtB〕
竛	IhRjZd_立亽龴〔CJK〕
訡	IiRjZ_言亽ヿ〔CJK〕
𧥰	IiRnZn_言亻乃〔ExtB〕
誝	IiRjZO_言亽ヿ口〔CJK〕
𩐧	IbRjZO_音亼乛口〔ExtB〕
谂	IiRjZQi_讠亽ヿ心〔CJK〕
𩐭	IbRjZQi_音亽ヿ心〔ExtB〕
𪯺	IfRjZQi_方亽ヿ心〔ExtC〕
𧧴	IiRuZQi_言入㇗心〔ExtB〕
詤	IiRnZSp_言人㇗〔CJK〕
𧫧	IiRjZUy_言亼乛酉〔ExtB〕
𩕴	IvSvAOEye_六水冂口頁〔ExtB〕
誻	IiSvBo_言水日〔CJK〕
𥫐	IhSBoBoANrO_立丨日日冂大口〔ExtB〕
𪜢	ISBo_亠丨日〔ExtC〕
諮	IiSbEqO_言冫欠口〔CJK〕
谘	IiSbEqO_讠冫欠口〔CJK〕
𧫎	IiSbEqQi_言冫欠心〔ExtB〕
𧠰	IzSpEr_亡見〔ExtB〕
𧫺	IiSbEqUm_言冫欠皿〔ExtB〕
𧩣	IiSpEx_言巛囟〔ExtB〕
𧫇	IiSpGb_言巛貝〔ExtB〕
䜈	IiSpGaMu_言巛田木〔ExtA〕
䇂	IhS_立丨〔ExtA〕
𠅁	ISHi_亠丨一〔ExtB〕
𧥞	IiS_言丨〔ExtB〕
𧊯	ISvKc_亠水虫〔ExtB〕
𪀞	IzSpKi_亡鳥〔ExtB〕
𩣐	IzSpKma_亡馬〔ExtB〕
𧭞	IiSpKsu_言巛〔ExtB〕
𧰠	IzuSpKsu_壴巛〔ExtB〕
𠅻	IzSvODv_亡氵口⺝〔ExtB〕
𧚱	ISpOYi_亠巛口衣〔ExtB〕
訓	IiSp_言川〔CJK〕
训	IiSp_讠川〔CJK〕
𪯠	IxSp_文川〔ExtC〕
巟	IzSp_亡〔CJK〕
𡿫	IzSp_亡川〔ExtB〕
詶	IiSpSp_言川〔CJK〕
𠦸	IiSbSbCi_言冫十〔ExtB〕
𨚳	IzSpTe_亡巛阝〔ExtB〕
謚	IiSvUm_言皿〔CJK〕
谥	IiSvUm_讠皿〔CJK〕
𤭉	IzSpUw_亡巛瓦〔ExtB〕
𣱵	ISv_亠水〔ExtB〕
𧦋	IiSv_言水〔ExtB〕
𧭄	IiSpXxMu_言巛⺽木〔ExtB〕
𢂪	IzSpYj_亡巛巾〔ExtB〕
𢂠	IzSpYj_亡巾〔ExtB〕
讀	IiTiAsGb_言士罒貝〔CJK〕
讟	IiTiAsGbIi_言士罒貝言〔CJK〕
讀	IiTiAsGb_言士罒貝〔兼容文字〕
読	IiTiARe_言士冖儿〔CJK〕
𧬇	IiTiAUdo_言士冖豆〔ExtB〕
謜	IiTcBaWi_言厂白小〔CJK〕
𩑈	IbTaBv_音广黃〔ExtB〕
𧭰	IiTaBv_言广黃〔ExtB〕
產	IxTcCp_文厂生〔CJK〕
䛻	IiTcCiEmu_言十目〔ExtA〕
𧭡	IiTcCGaLa_言厂⺿田⽱〔ExtB〕
剷	IvTcCpJd_厂生刂〔CJK〕
剷	IvTcCpJd_厂生刂〔兼容增补〕
産	IvTcCp_厂生〔CJK〕
产	IvTc_厂〔CJK〕
謶	IiTaChWu_言广廿灬〔CJK〕
𧭧	IiTaChWuL_言广廿灬辶〔ExtB〕
𧫽	IiTaChWu_言广廿火〔ExtB〕
	IxTc_文厂〔私用区〕
𧩧	IiTaChXy_言广廿又〔ExtB〕
𧧆	IiTd_言〔ExtB〕
𧦫	IiTd_言㠯〔ExtB〕
端	IhTsEh_立山而〔CJK〕
𨚿	IceTe_阝〔ExtB〕
邡	IfTe_方阝〔CJK〕
諯	IiTsEh_言山而〔CJK〕
𨚪	IhTe_立阝〔ExtB〕
𫍱	IiTsEh_讠山而〔ExtC〕
𫑟	IiTe_言阝〔ExtC〕
鄗	IoTe_高阝〔CJK〕
𧧝	IiTcEya_言厂牙〔ExtB〕
邙	IzTe_亡阝〔CJK〕
詩	IiTuFc_言土寸〔CJK〕
诗	IiTuFc_讠土寸〔CJK〕
𥩳	IhTuFc_立土寸〔ExtB〕
𥩸	IhTuFc_立土寸〔ExtB〕
𥪹	IhTeFFgDv_立阝工⺝〔ExtB〕
䜏	IiTeFFgDv_言阝工⺝〔ExtA〕
𧨮	IiTfu_言阜〔ExtB〕
詓	IiTuGsi_言土厶〔CJK〕
䇊	IhTaGsi_立广厶〔ExtA〕
𧧡	IiTvGsi_言厶〔ExtB〕
𫍜	IiTuGsi_讠土厶〔ExtC〕
竰	IhTcGaTu_立厂田土〔CJK〕
𧪞	IiTuGsiUm_言土厶皿〔ExtB〕
詬	IiTcHiO_言一口〔CJK〕
𧩅	IiTaHzL_言广七夊〔ExtB〕
诟	IiTcHiO_讠一口〔CJK〕
𧫰	IiTaHiXjiLh_言广一龰〔ExtB〕
𧧊	IiTcHiZsi_言一巳〔ExtB〕
𧧑	IvTcIi_厂言〔ExtB〕
𪆿	IvTcIiKi_厂言鳥〔ExtB〕
𧦡	IiTcJg_言厂干〔ExtB〕
𠅰	ITuJsiUbi_亠土矢〔ExtB〕
讗	IiTsKzAvO_言山隹口〔CJK〕
𧮄	IiTsKzA_言山隹〔ExtB〕
𧮋	IiTsKzAVhS_言山隹冂䒑丨〔ExtB〕
謕	IiTcKhu_言虎〔CJK〕
𧪥	IiTcKhuHd_言虍丁〔ExtB〕
䶵	IvTcKhu_龠虎〔ExtA〕
𤎉	IvTcKjiJWu_厂〢灬〔ExtB〕
𧬻	IiTuKyL_言土羊辶〔ExtB〕
𧩔	IiTaKy_言广〔ExtB〕
䛭	IiTuKy_言土〔ExtA〕
䜅	IiTsKz_言山隹〔ExtA〕
𧪲	IiTdL_言辶〔ExtB〕
𫁫	IhTeLL_立阝夂㐄〔ExtC〕
𧫥	IiTaNrBoZ_言广大日乚〔ExtB〕
𧨱	IiTaNsD_言广氏丶〔ExtB〕
詰	IiTiO_言士口〔CJK〕
𧭏	IiTiOAHgTu_言士口冖土〔ExtB〕
䇉	IhTo_立石〔ExtA〕
诘	IiTiO_讠士口〔CJK〕
𧦳	IiTo_言石〔ExtB〕
𠟸	IiTiOJd_言士口刂〔ExtB〕
𧫁	IiTuOYi_言土口〔ExtB〕
亴	IoTuPj_土九〔CJK〕
𧧉	IiTaPHz_言广丿七〔ExtB〕
𫝸	IvTcPRn_厂丿人〔ExtD〕
誌	IiTiQi_言士心〔CJK〕
𰵧	IiTiQi_讠士心〔ExtG〕
𫁥	IhTaQbuO_立广⺊口〔ExtC〕
䛸	IiTaQbuO_言广⺊口〔ExtA〕
𧨊	IiTcQQ_言厂〔ExtB〕
𧨽	IiTeRnFc_言阝亻寸〔ExtB〕
𧫶	IiTsRjIce_言山亼〔ExtB〕
𠜇	ITeRnJd_亠阝人刂〔ExtB〕
𫍑	IiTaRnKz_言广亻隹〔ExtC〕
㐪	ITsRn_亠山人〔ExtA〕
訕	IiTs_言山〔CJK〕
讪	IiTs_讠山〔CJK〕
𡵡	IxTs_文山〔ExtB〕
𡵍	IzTs_亡山〔ExtB〕
詿	IiTuTu_言土土〔CJK〕
𨬇	ITuTuPdJr_亠土土丸金〔ExtB〕
𧫉	IiTuTuQi_言土土心〔ExtB〕
譊	IiTuTuTuHiRe_言土土土一儿〔CJK〕
𣍕	IaTuTuTuHiRe_曲土土土一儿〔ExtB〕
𥪯	IhTuTuTuHiRe_立土土土一儿〔ExtB〕
𥫌	IhToToTo_立石石石〔ExtB〕
𥗧	IoToToTo_石石石〔ExtB〕
𨮲	ITuTuTuPdJr_亠土土土丸金〔ExtB〕
诖	IiTuTu_讠土土〔CJK〕
䜁	IiTuTuZNr_言土土㇗大〔ExtA〕
讈	IiTcUhUhLh_言厂禾禾止〔CJK〕
𥪪	IhTsUdo_立山豆〔ExtB〕
𧪚	IiTsUdo_言山豆〔ExtB〕
𧨵	IiTcUf_言厂缶〔ExtB〕
𩐓	IqTuUh_土韭〔ExtB〕
𧪙	IiTsUhJd_言山禾刂〔ExtB〕
𡎲	IoTu_高土〔ExtB〕
㙜	IoTu_高土〔ExtA〕
𧬎	IiTcUhUh_言厂禾禾〔ExtB〕
𧰡	IzuTcUhUhLh_壴厂禾禾止〔ExtB〕
𥣏	IiTcUfWu_言厂缶灬〔ExtB〕
譧	IiTaVhXjiWu_言广䒑〔CJK〕
𧩯	IiTaVhC_言广䒑〔ExtB〕
𣃺	IfTv_方谷〔ExtB〕
𥪉	IhTv_立谷〔ExtB〕
䛦	IiTv_言谷〔ExtA〕
𠠟	IvTcVhXjiWuJd_厂䒑刂〔ExtB〕
𠔳	IvTcVhXjiWu_厂䒑〔ExtB〕
𧨃	IiTuWu_言土〔ExtB〕
𢾬	IvTcWuXp_厂火攴〔ExtB〕
亷	IvTcXjiWu_厂〔CJK〕
讔	IiTeXzFgXjiQi_言阝爫工彐心〔CJK〕
𧰀	IzuTsXyO_壴山又口〔ExtB〕
𣁠	IxTaXvPv_文广肀〔ExtB〕
𧩉	IiTaXjiRn_言广人〔ExtB〕
𣀊	IvTcXjiWuXp_厂攵〔兼容增补〕
䛀	IiTcXy_言又〔ExtA〕
顏	IxTcYEye_文厂彡頁〔CJK〕
𠅔	ITyi_亠邑〔ExtB〕
顔	IvTcYEye_厂彡頁〔CJK〕
𥀆	IxTcYEp_文厂彡皮〔ExtB〕
颜	IvTcYEye_厂彡页〔CJK〕
𪯨	IxTcYiJd_文厂衤刀〔ExtC〕
𪵏	IxTcYJx_文厂彡殳〔ExtC〕
𪃛	IxTcYKi_文厂彡鳥〔ExtB〕
𢒶	IxTcYKx_文厂彡〔ExtB〕
遃	IvTcYL_厂彡辶〔CJK〕
𠷗	IxTcYO_文厂彡口〔ExtB〕
𠦳	IvTcYPq_厂彡千〔ExtB〕
𦫨	IxTcYRKb_文厂彡⺈巴〔ExtB〕
𩕝	IxTcYSpEye_文厂彡巛頁〔ExtB〕
𩠪	IxTcYSpHiEi_文厂彡巛一自〔ExtB〕
彦	IvTcY_厂彡〔CJK〕
彥	IxTcY_文厂彡〔CJK〕
譸	IiTiZFgHiOFc_言士乛工一口寸〔CJK〕
𩓲	IvTcZDEye_厂ㄥ丶頁〔ExtB〕
𧦠	IiTcZi_言厂⺋〔ExtB〕
𥩧	IvTcZv_厂予〔ExtB〕
謀	IiUgaMu_言甘木〔CJK〕
𪔉	IqUaa_鼎〔ExtB〕
𨶼	IvUAmRjO_凵門亼口〔ExtB〕
詣	IiUbiBo_言匕日〔CJK〕
𧪑	IiUb_言香〔ExtB〕
䚰	IiUbi_言匕〔ExtA〕
诣	IiUbiBo_讠匕日〔CJK〕
𫖜	IbUhBaWiY_音禾白小彡〔ExtC〕
諶	IiUgaCvZ_言㇗〔CJK〕
