搸	<𢸩>
搹	<扼>
携	[㩗擕㩦⇀攜⇋携‒攜-携]
搻	<搦>
搼	<拳>
搾	[搾榨↛榨]
摀	<捂>
摂	<攝>
摃	[摃扛↛扛]<抗掆𢴦>
摄	[攝-摄]<撮>
摅	[攄-摅]
摆	[擺襬-摆‒襬-摆䙓]
摇	[搖-摇]<揺𢭊𢭌㨱𢳘>
摈	[擯-摈]
摊	[攤-摊]
摋	[摋-𢫬]
摍	<𢳔𢴀>
摎	<㧃𢷶撓>「-求」_<樛繆>
摐	[摐-𪭢]<㧿𢰑>
摑	[摑-掴]<𢧷𢼛𢮎𢹖𧤯>
摒	<拼>_<幷>
摓	<捀捧縫>「-逢」
摔	<𨄮>
摕	<梊𢰂摭>
摗	<駷>
摘	<啇𠞶𢴨擿𢸈>
摚	<𢻒撑>
摛	<攡>
摜	[摜-掼]<慣>
摝	<𢮑>
摟	[摟-搂]
摠	<總>_<揔緫総>
摡	<𢪑𢷽溉>「塈」
摢	<摴>
摣	<揸𢸉𠭯抯>
摤	<搶>
摦	<𡗷𢶎𥧰>
摧	<莝>_<砕催漼>
摩	<𢳀擵攠𢣾𥗂𥗘𦇑𪎚>_<磨靡>
摪	<將>
摭	<拓摕>
摮	<𢳆𢶗敲𢿣>
摯	[摯-挚]<𢴷>_「-鷙」
摰	<𢳊𢴸掣>
摱	<𢶔>
摲	<㨻>
摳	[摳-抠]<刳挎毆>_{樞}「-瞘」
摴	<摢>
摵	<𡠽槭>
摶	[摶-抟]<專團塼𢮛𢰁𢰋㩛嫥槫>
摷	<㩰𦾱鈔>_{抄}「-剿」
摸	<摹>{模}_
摹	<模摸撫𢸆>
摺	[折摺-折]<拉歽𣂚𣂟𣂫𣂲>
摻	[摻-掺]<參傪撡攕>_「*攙」
摼	<挳牽>
摽	<𢿏𢶏𢸂𢹰抛>「拋-標-鏢-僄-漂」
摾	<弶>
摿	<㨱>
撁	<牽縴>
撃	<擊击>
撄	[攖-撄]
撅	[噘撅↛撅]<掘>_<𢴺>
撆	<撇>
撇	<撆蔽憋瞥>
撈	[撈-捞]<𢭐労𢭂撩>
撊	[撊-𪭾]<僩瞯>
撋	<捼>
撍	<揝篸鐕>「攢」
撎	<揖>
撏	[撏-挦]<探𢸧𢸱𧅩>
撐	[`撐⇋撑]
撑	[`撐⇋撑]<樘𣥺摚𢴤䟫蹚>
撒	<𢴻攃>_<散>
撓	[撓-挠]<𢪼摎繞梟橈交鐃>_「-鬧」
撕	<斯>
撗	<横擴>
撘	<搭>
撙	<𠟃>
撚	[撚拈↛拈]<捵𢲳>
撜	<𢿧拯>_<抍>
撝	[撝-㧑]<揮>
撞	<壯𢭩𨀵>
撟	[撟-挢]<𢱪矯譑>
撠	<戟>
撡	[𢮥撡⇀操]<摻>
撢	<𢶁探撣>_<𢺬>
撣	[撣-掸]<担撢擅>
撤	<勶>
撥	[撥-拨]「*醱」
撦	[撦扯↛扯]
撧	[撧-𪮖]<絶>「絕」
撩	<𢿞撈>
撪	<㨧>
撫	[撫-抚]<摹橅𢻲𢻬拊捬𢸮𨑑匍幠>_<𢺌𨑟>
播	<𠤻𢿥𥸨𨤏譒>「-簸-藩」_<番>
撮	<最𢲻𤑧𩯉>_<摄>
撯	<擆>
撰	[譔撰↛撰]<𢰅𥲻籑算選>_「*賺」
撱	<㨊>_「-橢」
撲	[撲-扑]<𢪗擈𢷏>
撳	[搇⇀撳-揿]<𢵡欽>
撵	[攆-撵]
撶	<划>
撷	[擷-撷]
撸	[擼-撸]
撹	[撹↦搅]<攪捁>
撺	[攛-撺]
撻	[撻-挞]<𢽞𢾴𢹗𢺂𨘈𩋅𩌉𩌘韃達>
撼	<㨔>「*感」
撽	<擊𢶡邀>「摮」
撾	[撾-挝]「*抓」
撿	[撿-捡]<𢮦揀>
擀	<扞>
擁	[擁-拥]<㨣𢶜𢹭𢹬𢺠>_「-臃」
擂	<攂𢹮𢺢雷>
擃	<搑>
擄	[擄-掳]「*捋」_<虜虜>
擅	<𢫔>「-禪-撣」
擆	<㨋撯𢷷>
擇	[擇-择]<択𢍰睪釋殬澤譯>
擈	<撲>
擉	<拺𧣫>
擊	[擊-击]<撃撽覡隔>
擋	[攩擋↛擋-挡]
操	[𢮥撡⇀操]<𢿾摻>
擎	<㢣𢍸檠擏>_<鯨>
擏	<儆檠擎>
擐	<𢸃揎>「*鏇」
擑	<接>_<扱椄翣>
擒	<禽扲捦㩒鈙>{摛}
擓	[擓-㧟]<㨤𢶘>
擔	[擔-担]<儋檐𥣲𧭃>
擕	[㩗擕㩦⇀攜⇋携]
擗	<擘>_<辟>
擘	<孹擗𢹐>
據	[㨿⇀據‒據据-据]<拠劇𢴃𢷛>_「-蘧」
擛	<聶>
擞	[擻-擞]
擟	[擟-𪭧]
擠	[擠-挤]<𡬚䍤>
擡	[擡-抬]<笞>
擢	<戳>
擣	[𢷬⇀擣搗↛搗‒~擣-𢭏]<捯𢶈𦦺𦦾㨶𦦰捣>_「-稠」
擥	<攬>_<㩜>
擦	<攃>
擧	[擧⇀舉]<挙>
擩	<㧫㨎>
擪	<𢵤㩎擫>_<厭>
擫	<擪>
擬	[儗擬↛擬-拟]<𣝆懝譺疑>
擭	{獲}
擮	<截>
擯	[擯-摈]<儐>
擰	[擰-拧]
擱	[擱-搁]<閣>
擲	[擲-掷]<擿>
擳	<幯>
擴	[擴-扩]<挄拡撗㨯攩>
擵	<摩>_<𢳀攠𢣾𥗂𥗘𦇑𪎚>
擷	[擷-撷]<襭𨘓𪆋>
擸	<𢴫>
擹	<攤>
擺	[擺襬-摆]<𢸇捭>「*耙」
擻	[擻-擞]
擼	[擼-撸]
擽	[擽-㧰]<攊攦>_<掠>
擾	[擾-扰]<㹛𢹎>_<𢺕>
擿	<㰅𢱦擲摘>
攀	<𧰨㐴𠔀𠬜𡴂扳𢲔𢸅>
攂	<擂>
攃	<礤撒擦>
攄	[攄-摅]<捈>_<摴>
攅	<攢>
攆	[攆-撵]<碾>
攇	<搟>
攈	<捃>_<攟>
攉	<搉>_<榷>
攊	<擽>_<攦>
攋	[攋-𪮶]<櫴揦>
攍	<㨕>
攎	<攞>
攏	[攏-拢]
攐	<搴攓>
攒	[攢-攒]_<欑>_<儹>
攓	<㩷𣟋搴攐>
攔	[攔-拦]「闌」
攕	<摻㩥揱㡨>「櫼」
攖	[攖-撄]
攗	<𣟸𢥄>
攘	<𣀮𢺖讓>「-饟-禳」_<穰>
攙	[攙-搀]<鑱欃>
攛	[攛-撺]<𢺱>_「*汆*摻*竄*躥*攥」
攜	[㩗擕㩦⇀攜⇋携‒攜-携]<儶>_<𢹂>
攝	[攝-摄]<摂挕撮最𢲻𤑧𩯉>_「翣-躡-懾」
攞	<攎>
攟	<捃>_<攈>
攠	<摩>_<𪎮>
攡	<摛>
攢	[攢-攒]<攅欑攥鑽酇>_「*趲」
攣	[攣-挛]<𠣈䏈>
攤	[攤-摊]<擹𢺋>_「*坍*癱」
攥	<揝攢>
攦	<捩擽>
攨	<搲>
攩	[攩擋↛擋]<擴黨>
攪	[攪-搅]<撹捁㩭>
攫	<玃㩴𤔗㸕𤔩爴>
攬	[攬-揽]<𢱯擥㩜覽>
支	<𠦙𡽒𣏃枝𢺶搘梔肢>{丈}
攰	<㩻>_<𤿡>
攱	<庋>
攲	<欹𤿯>
攴	<攵𢪊䇚𦬙扑>_<剥>
攵	<攴>
收	<収𠬧敊㧃>「-糾」
攷	[攷考↛考]<𣧏>
攸	<𠈹𣲏㳊泅逌𨘁>「-悠」_<猷>
攺	<𢻰>
攻	「-共-工」
攼	<捍>_<㪋>
攽	<𠚼頒>
放	<匚紡>「-方」_<拋>
政	<正>_<征>
敀	<迫>_<𤽐>
敂	[敂⇀叩]<扣>_<𢼒>
敃	<𢽹暋紛>「睯」
敄	<劺務>
故	<雇>「-胡-辜-詁」
敆	<合>_<㪉>
效	[効⇀傚效↛效]<爻殽校>
敉	<侎𢘺>
敊	<收>{豉}
敋	{摑格}「挌」
敌	[敵-敌]
敍	[敍⇀敘⇋叙]
敎	[敎↝教]
敏	<勄>「*憫-拇」_<敏>_<敏>
敐	<㲀>
救	[捄救↛救]<勼𣪋㤹𧘶𧧷莍>_<𥘦>「-仇」
敒	<伸>
敓	[敓↦敚]<奪𢼠對>
敔	<圄圉梧𢾵禦>_<𢻊>
敕	[勅勑⇀敕]<𠡅策飭飾>_<𢽟>
敖	<𢾍隞𣷫傲廒遨>「螯-熬」_<𢾕>
敗	[敗-败]<贁𣀕𤖐䢙>
敘	[敍⇀敘⇋叙‒敘-叙]
教	[敎↝教]<𠭂𡥉學𢺽𢻍𤕝𢼂𢼅斅𧧿>
敚	[敓↦敚]<奪𢼠>
敛	[斂-敛]
敜	<捻>
敝	<弊>「-蹩-幣-蔽」
敞	<僘鋥>
敟	<典>
敠	[敪↦敠]{掇}
敢	<𠭖𢽤𢽿𢼿𣪏>
散	[㪚⇀散]<𢻞𢻦𢻾㪔𢿨𢿷𢿺𣀙>_<𢿱>
敤	<㪙>
敥	<烄>
敦	[㪟⇀敦]<墩𠧈𦎧𤮩𢼪𣀦𥂦憞>_「-屯-淳-燾-雕-團-殿」
敧	<槣𣀬𨜅>{攲}
敩	[斆-敩]
敪	[敪↦敠]
敫	「-嬓」
敬	<𢾠𢿩憼>「-檠-驚」
敭	[敭⇀颺揚↛揚]
敯	<暋>
数	[數-数]
敱	{敳}
敲	<𢻤㪣摮搞毃𣫁䯨𩫈>_<虓>
敳	<敱>
整	<𠢦𠢫𣦔𢝗愸>_<𢿋𢿫>
敵	[敵-敌]<𠢗𢿪>_「-謫-適」
敶	<陳>{陣}
敷	<尃𢾭旉>_<賦傅溥附>
數	[數-数]<𢿘𣀭𣯫𡢏>_「-縮」_<𢿙>
敺	[駈⇀敺驅↛驅]<駆𢿛毆嫗歐>
敻	「矎」_<夐𤔫>_<𢿌>
敽	[敽↦敿]<𣪽>
敾	<繕>
敿	[敽↦敿]
斀	<劅椓>_<𣀈>
斁	<歝>_<射繹>_<𣀇>
斂	[歛斂↛斂-敛]「-殮」
斃	[獘斃↛斃-毙]<弊>
斄	<𠩬𣮉氂䋱>_<犛>
斅	[斅-𢽾]<學学斈教斆>
斆	[斆-敩]<斅>_<學>
文	「-紊」
斈	<學>_<学斅𡕕𢻯教斆>
斉	[斉↦齐]<齊斊亝>
斊	<齊亝斉>
斋	[齋-斋]<斎>
斌	<彬>_<份𢒹分>
斍	<覺>
斎	<齋>_<斋>
斐	<奜>
斑	<𤨘䃑辬>_<頒豳班般>
斒	<𢼶豳>_{斑}
斓	[斕-斓]
斔	<庾>{鍾}
斕	[斕-斓]<𣁣瞵>
斖	<亹>
斗	[鬥斗-斗]<枓𣁬𠦁𤣫𣂑㪷陡豆闘>_<鬭>
料	<䉼𥸾>「*撂」
斚	<斝>
斛	<㪶𧤰𩵬>
斜	<邪>
斝	<𠬂䑝斚>「-稼」
斞	<庾>
斟	<𣁱㪸𨠇酙>
斡	<𨋼𨌝>
斢	<𪏡>
斣	<𣂌>
斤	[觔斤↛斤]<𧣊釿䤺>
斥	<𠨺𠩋㡿𡱞𤵍坼>「-赤」
斧	<𢯋鈇𨨞>「-黼」
斨	<析>{折}
斩	[斬-斩]
斫	[斵⇀斲斮斫↛斫]<剢𣃖𥖛>
斬	[斬-斩]「*蘸*眨」
断	[斷-断]
斮	[斵⇀斲斮斫↛斫]<剒𢧉𢨈𣃀作>
斯	<𣂕撕纚>「-厮」_<鮮>
新	<𢀝𤗔𤗟𣂺𨐏薪>「-親」
斲	[斵⇀斲斮斫↛斫]<㓸𣂪𣂡𣃃𣃂𣃆𣃋𣃏𦘣𨮕𨯴>
斳	<芹>
斴	<𣃌㔂>
斵	[斵⇀斲斮斫↛斫]<㓸𣂪𣂡𣃃𣃂𣃆𣃋𣃏𦘣𨮕𨯴剢𣃖𥖛剒𢧉𢨈𣃀>
斷	[斷-断]<𠡱𠝅𠜷𠸿𣦕𣂣𣂢𣂱㫁𣃔籪段腶>
斸	<劚欘𣃁钃>
方	<㕫汸𤙗倣>「-旁-防-房-謗」_<望放祊訪傍>
斻	<桁航>_<𣃚>
於	[於-于於‒於于-于]<扵𣱏𤋬烏>
施	<𢒃𠆹𠇜𠤒𢻩𢻫𢼘𢼉𢼊𦭇䙾>「-侈-弛-移」
斾	<旆>
斿	<旒遊>「游」
旁	<傍㝑𣃙㫄𣃟𣃪雱>「-方」
旂	[旂旗↛旗]
旃	<𣃯㫋𣃼旜襢>_<氈>
旄	<𣭅嵍耄>_<茅髦>
旅	<𤣧𣥐𣥏𢬜捛𢰈𣃨𣄆祣穭魯>「-膂」_<吕臚>
旆	<斾𣃩>
旈	<旒>
旉	<敷>_<尃𢾭>
旊	「瓬」
旋	[鏇-镟-旋]<𡟐𢭀𢳄颴𩙢璇>
旌	<𣃢旍𣄀𧚫𦑊𦑖>「-精」_<靖>
旍	<旌>
族	<㞺𥎩𥎼𥏁𥎽瘯嗾鏃>「-奏」_<簇>
旐	<𣃿>
旑	<旖>
旒	<㐬瑬游𣽩斿旈㫍𦀠>_<流>
旖	<旑>
旗	[旂旗↛旗]<㫅>_「-箕」
旘	<幟>_<𢂴𣄞識帜>
旙	<旛>
旚	<𣄔𣄦𣄪飄>
旛	<幡>_<旙>
旜	<旃>
旞	<𣄚𣄧>
无	[無-无]
旡	<㒫𠘸>
既	[旣↝既]<既>_<旣>
旣	[旣↝既]<既>
旤	[旤⇀禍]<𣄸>
日	<𡆠𡆸囩囸𡇗𡈎>
旧	[舊-旧]<𦾔>
旨	<𠩊𠮛𡱔𣅀㫑𣅌𤮻>_<㫖>_<𠤔>
早	<𣅼>「-草」
旪	<協>
旬	<𠣚𠣙𠣡>「-均-徇」
旭	<旮>
旮	<旭>
旰	<𣈨>
旱	<晘>「-悍」_<干汗>
旳	<的>
旴	<晇𤕐>{旭}
时	[時-时]
旷	[曠-旷]
旸	[暘-旸]
旹	[旹⇀時]
旺	<暀𣈧>_<王>
旻	<旼>_<閔>
旼	<旻>
旽	<暾>
旾	[旾⇀春]
旿	<晤>
昁	<𥄔>
昂	<卬枊>_<昻興高>
昃	<𣅛𣅦𣅔昗𣅳>_<側稷>
昆	[崐⇀崑昆`↛昆]<㒭晜𣋥罤𥊽𧲟焜混>
昇	[陞昇升↛升‒升昇陞-升]<曻陹>
昈	<户>
昉	[昘↦昉]<昞>
昊	<夰昦暤𠕫>_<皓皞顥睪>
昋	{炅}
昌	<𣅊𣆫倡唱>「-菖」_<猖>
明	<𣇱𣷠朙眀>「-萌」_<盟鳴名>
昏	[昬⇀昏]<混婚𣄼𣄾𣉈𣋯𦟲惛閽𢾞泯>_{厥}「-敯」
昒	<𠯳𡆳𡆷𡇆曶𣇤>
易	<𡱿蜴>「-賜-埸」_<亦>
昔	<㫺𦠡腊>_<夕錯>_<𦠪𣊦𦝙>
昖	<㫟>
昗	<昃>
昘	[昘↦昉]<訪>
昙	[曇-昙]
昚	[昚⇀慎]<愼𡴜𦚉㥲眘>
昜	<陽>{易}_<暘>
昝	「*咱」_<朁>
昞	<昉炳>_<昺>
星	<𠻖曐𤯢𤽛皨𤾪㽮>
映	[暎⇀映]<䁐>
昢	<𣅽艴>
昣	<𣆋>
昤	<㬡𣌟>
春	[旾⇀春]<𣆊㫩𣈤𣊨𧇶萅𦸬蠢>_<萶>
昦	<昊>_<夰暤𠕫皞>
昧	<𣆜>
昨	「-酢」
昪	<𣅹忭>
昫	<朐>
昬	[昬⇀昏]<婚𣄼𣄾𣉈𣋯𦟲惛>
昭	<佋巶炤照>「-韶」_<招朝>
是	[昰⇀是]<徥𣆞𣊒氏寔實視>_「*甚*試」
昰	[昰⇀是]<夏徥𣆞𣊒>
昱	<煜翌>_<翊翼>
昲	<曊>
昳	「-逸」
昴	<𣇅𣇯>{昂}_<𣆻>
昵	[暱昵↛昵]<尼𣆓𣽚眤䁥禰>
昶	<㫤>「-暢」_<㫤>
昷	<温>「溫」_<𥁕>
昸	<冬>
昺	<炳>_<昞>
昻	<昂卬枊>
昼	[晝-昼]
昽	[曨-昽]
显	[顯-显]<顕>
昿	<曠>
晁	<𣆷鼂朝>
時	[旹⇀時-时]<㫑𣅱>_「-司-塒」_<峕>
晃	[㨪⇀晃]<晄兤熿爌𤒼𨉁>
晄	[晄↦晃]<㨪兤熿爌𤒼𨉁>
晅	<𣉖>
晇	<旴>
晈	<皎>
晉	[`晉⇋晋]<𡥨𣈆㬐㬜𣋤𣋧𣌇𦗎搢鐏箭>
晋	[`晉⇋晋]<𡥨𣈆㬐㬜𣋤𣋧𣌇𦗎>
晌	<曏餉>
晍	<曈>
晒	[曬-晒]
晓	[曉-晓]<暁>
晔	[曄-晔]
晕	[暈-晕]
晖	[暉-晖]
晘	<旱>
晙	<𣇚>
晚	[晩↦晚]<𣆶𣆛免輓>
晛	<㬗>
晜	<昆>_<𥊽>
晝	[晝-昼]<𦘙𦘘>
晞	<烯𥅹>「-睎-稀」
晟	<晠晶盛>
晠	<晟盛>
晡	<𣆫>
晢	<晣㫼>
晣	<晢>_<㫼>
晤	<𣅎旿>
晥	<𣆿皖>
晧	<皓>
晨	<𠔹㫳曟辰>
晩	[晩↦晚]<𣆶𣆛>
晬	<𣅢睟>
晭	<㫶>
普	<暜溥>
景	<𠎠幜暻𦚎影>
晰	[晳⇀皙晰↛晰]<𣇮>
晱	{睒}
晲	<𣅸>{皖晛}
晳	[晳⇀皙晰↛晰]<析>
晴	<夝暒甠精>_<晴>
晶	<晟>
智	<𣉻𢜔知𥏾𥏼𤾞>
晻	[闇晻暗↛暗]<奄渰>
晾	<涼>{暻}
暀	<𣇭旺>_<𣈧>
暁	<曉>_<晓>
暂	[暫-暂]
暄	<𣇥暖煖>
暅	<𣈶>
暇	<假仮叚反𠖊𠭊>
暈	[暈-晕]<煇䵴運>
暉	[暉-晖]<輝>_「*徽」
暋	<敃𢽹>_<𢾞敯>
暍	<㬞㷎𤸎>
暎	[暎⇀映]<䁐>
暏	<曙>
暐	<㬙>
暑	<暑>_<暑>
暒	<晴>_<晴夝甠精>
暓	<𣊃>
暖	[㬉煗⇀煖暖↛暖]<𣆝暄𣊵𤆱>
暗	[闇晻暗↛暗‒暗闇-暗]<𣆛𣈇隌>
暘	[暘-旸]<昜陽>
暜	<普>_<溥>
暝	<冥>
暞	<曒>
暟	{皚}
暠	[皜暠皓↛皓]
暢	[暢-畅]<長畼鬯觴昶>
暣	<氣>
暤	<暭昊皞>_<皥皡>_<曍𣊊>
暦	<厯曆历>
暧	[曖-暧]
暨	<𠕨𡍳𡮧臮届>「屆-塈」_<曁>
暫	[蹔暫↛暫-暂]<𣊙>
暬	<褻>_<𣊓𭧳𣊮>
暭	<暤>「皞」_<皥皡>
暮	<莫>
暱	[暱昵↛昵]<尼𣆓𣽚眤䁥>
暲	<章>
暳	<㬩>
暴	<㫧𣉱𣊴𣊻𣋏曓㬥𣋴𣋳虣曝>「-㿺」
暵	<焊>
暸	<瞭>
暺	<㫜>
暻	<景>
暾	<旽𣌘>
暿	<熹>
曀	<㙠𣌐>
曁	<暨届𠕨𡍳𡮧臮>
曃	<𣇨𪒡>
曄	[曄-晔]<曅𣊚曗𣋌爗>_<𣋓>
曅	<曄>
曆	[厤曆↛曆‒歷曆-历]<暦厯>
曇	[曇-昙]
曈	<晍>
曉	[曉-晓]<暁𣉊皢>
曊	[曊-𪰶]<昲>
曌	<照>_<瞾>
曍	<暤>
曎	<𠓋>「燡」
曏	[曏嚮↛嚮‒向嚮曏-向]<晌𧬰𡩉響𤖾𤖽𥥩鄉>
曐	<星>
曑	<參>
曒	<暞>{皦}
曓	<暴>_<𣋦𣊴𣉱𣊻>
曖	[曖-暧]<𣋞>
曗	<曄>
曙	<暏𨽉>
曛	<熏>
曜	<𣇪燿𤒂𪏌>
曝	<暴𣌑>
曟	<晨辰>
曠	[曠-旷]<昿広壙𣊥𣋷𣼥爌懬廣>
曡	[曡疉⇀疊⇋叠]
曣	<𣋅㬫>{晏}
曥	[曥-𣆐]
曦	<㬢𣎮爔>
曨	[曨-昽]
曬	[曬-晒]<㬠䵘>
曯	「燭」
曲	[曲麴~麯-曲‒麴-曲~麹]<𠚖䒼𨴈>_「-屈」
曳	<曵抴拽>「-栧-跇」_<𦥙>
更	<㪅𠭍>
曵	<曳>_<抴拽>
曶	<㫚>「-忽」_<昒>_<𡆷𠯳𡇆𡆳>
曷	<愒>「-遏-蝎」
書	[書-书]<𦘠>_<書>
曹	<傮㯥曺𣌼𣊛𣍘漕>_<造>
曺	<曹>_<傮㯥𣌼𣊛𣍘漕>
曻	<昇>
曼	<㗈㬅蔓縵>「-萬-蠻」_<僈>
曽	「-層增」_<曾>
曾	「-層-橧-增」_<曽>
替	<㬱𤽽𤾕>「*屜」_<暜暜>
最	[㝡冣⇀最]<𣤜𥦡撮>_<最>
朁	<僭>{替}
朂	[朂↦勖]{最}
會	[會-会]<𠃐㞧㣛𣥈𣌭㑹鄶劌繪旝>_「*惠」
朄	<𢃿𣍃>
朅	「-曷」
朆	<㬟>
朇	<裨>
月	<囝𡇹㬴肉>
有	<𢇔洧>「-又-右-友-囿-域」_<𪠥>
朊	<脘>
朋	<倗>「逢*蓬-馮」_<鳳>
朌	<頒>「-斑」
服	<𠬝𠬨𠬩𣍞𦨈𦨕𦩟𨈞箙>「-保-逼-負-鵩-伏」_<犕>_<𦨊>
朏	<𣍧>
朐	[胊↦朐]<昫𠣪葋軥>
朒	<肭>
朔	<𦙚𦚿𣍮>
朕	<𣍹𦨶𦩎𦩗>
朖	<朗>_<朗>
朗	<㓪𡦀𣊧朖脼朤烺𥇑誏>_<朗朗>
朘	[脧↦朘]<𡱥䘒𧗔>_「-觹」
朙	<明>_<𣇱𣷠眀>
朚	<𦟁忙盲>
望	[朢望↛望]<琞𢾘𣍢𥩿𦣠盲忘妄方>_<望>
朜	<㬿>
朝	<晁潮𣎍𦩻>「-昭」_<輖鼂>
朞	[朞⇀期]<基>_<稘>
期	[朞⇀期]<其𠔸𡢁𣔔𣅆𣇳㫷𣍠𣍣𣍡稘𥟝夔>
朡	<𣍶艐>
朢	[朢望↛望]<琞𢾘𣍢𥩿𦣠>
朤	<朗>
朥	[朥-𦛨]
朦	<䏵>
朧	[朧-胧]<矓>
朩	<𣎳>
未	<味>
本	<夲㮺𡴩楍>
札	[剳⇀劄札↛札]<扎𤵦軋>_<𣎷>
朮	[術朮-术]<秫>
术	[術朮-术]<秫>_「-遂」
朱	[朱硃-朱]<株珠>
朳	<㭭捌𦓧>
朴	[樸朴-朴]<𣞞>_「-扑」
朵	[朶⇀朵]<𣎾杂𣎿𣏻桗挅䒳>
朶	[朶⇀朵]<𣎾杂𣎿𣏻桗挅䒳>
朷	{朸}
朹	<𣏒簋>
机	[機-机]<榿几>
朻	<𣎹樛>
朼	<枇>{匕}
朽	<㱙𣦿>
朾	<檙𢾊𢿦㨃揨檉>{打}
朿	<刺>{束}_<𣐁>
杀	[殺-杀]
杂	[雜-杂]<朵雑>_<襍>
权	[權-权]
杄	<櫏>
杅	<桙>_<杇>
杆	[桿杆`↛杆]<檊竿笴>
杇	<𣑀𢫸圬>_<釫鋘>
杈	<叉>{權}
杉	<檆櫼煔>_<杦>
杊	<𣖼>
杋	<楓>
杌	<柮阢>
杍	<梓>{李}
李	<𣒶䤚>「-理」_<杍>
材	<扐>「-哉-財-裁」
村	[邨⇀村]<𡵭>
杒	<梕軔>
杓	<勺>_<杓>
杕	<舵>
杖	<丈>
杘	<𣐉柅𣒺>
杙	<弋樴>
杚	<𣏙>{概}
杜	<𡍨𢾅𥀁>
杝	<柂籬>「-迤」_<迆離>
杞	<𠶵㠱梩檵>
束	<𤙨捒>
杠	[槓杠`↛杠]
条	[條-条]
杤	<𣜜櫔栃>
来	[來-来]<徠倈猍𧼛逨徕>
杦	<杉檆>
杧	<𣙷芒>
杨	[楊-杨]
杩	[榪-杩]
杪	<秒>
杫	<㮐𣘩>
杬	<芫>
杭	<航>「抗」
杮	<𣏕拔>
杯	[盃桮杯↛杯‒杯盃-杯]<𠤯𠥀𠥧柸棓㮎𦈧𦈶>
杰	[傑杰`↛杰]<桀>
東	[東-东]
杴	[鍁↝杴-锨]<檶𣞘㸝>
杵	「-橹」
杶	<櫄𣝙𣠍椿>_<杻>
杷	<𣚒欛>
杸	<殳>
杻	<杽>_{杶}
杼	<𣏗䇡>「-抒-芧-序」
杽	<杻扭鈕>
松	[鬆松-松]<梥枩柗庺枀㮤從>
板	[板闆-板]<版>
枀	<松>
极	[極极-极]<㭲>
构	[構-构]{枸}
枅	<𣓖>_<枅>
枆	<楙>
枇	<朼枈匕篦>
枈	<枇>
枉	<𣒈𢽃抂>
枊	<昂>{抑柳}
枋	<舫>「-柄」
枌	「-棼」
枎	<柎>
枏	[枏⇀柟楠↛楠]
析	<㭊淅扸斨>「-皙」_<晳>
枑	<互𣏛>_<𣏳>
枒	[枒椏丫↛丫]<椰>
枓	<斗𣙞>
枕	<𣏝>
枖	<𣓎夭>
枘	<内鈉>
枙	<厄軛>
枚	<𣏽>
果	[菓⇀果]<𣐭惈𤬁裏婐臝裸祼>_「-裹」
枝	<支㩽歧跂>_<胑肢軹>
枞	[樅-枞]
枟	{檀}
枠	「椊」
枡	<桝>
枢	[樞-枢]
枣	[棗-枣]
枥	[櫪-枥]
枦	「櫨」
枧	[梘-枧]
枨	[棖-枨]
枩	「松」_<梥柗>
枪	[槍-枪]
枫	[楓-枫]
枬	「栴」
枭	[梟-枭]
枮	<椹>
枯	<橭𤖲秙>「-楛」_<涸>
枰	<檘>
枱	<𣙼𤹇耛𨐠鈶柌檯>
枲	<葈𦂅䢄>
枳	「-疻-胑」(肢)
枴	[柺枴拐↛拐]
枵	<𢪶>
架	<𢉤榢𢱌>_<加枷>
枷	<椵耞>「-架」
枸	<𣕉𣕌𣙱>{拘}
枹	<𣑿>
枻	<栧>
枼	<枽楪葉>「-世」
枽	<枼>
枾	<柿>_<柹>
枿	<蘖>「蘗」
柁	<舵>
柂	<杝拖舵>
柄	<棅秉𥟱>_<枋>
柅	<抳鑈杘>
柇	<𤖱>
柈	<槃盤>
柊	<終>
柌	<枱𣙼鈶>
柍	<楧>
柎	<不枎𣏘𣘧跗弣桴>「泭-坿-拊」_<符>
柏	[栢⇀柏]<伯迫>
某	<厶梅>_<槑>
柑	<甘>「-拑」
柒	<漆七>
染	<𩃵>_<𣑱>
柔	<𣐱渘>_<輮楘>
柕	<楙>
柗	<松>_<梥枩>
柘	<䂞樜𥦼>「-蔗」
柙	<㘡𣘭𧆥>「-押-匣」
柚	<櫾𣠡>
柛	{神}
柜	[櫃柜-柜]<櫸矩>
柝	<𣔳𣝔𣟄𤗙>「-拓」
柞	<拃窄笮>「-咋-酢」
柟	[枏⇀柟楠↛楠]
柠	[檸-柠]<楮>
柢	<㭽楴氐秪胝>_<底抵邸詆>
柣	<𤙈>
柤	<楂樝>「-俎」_<苴>
查	[査⇀查]<楂槎樝>_「*奓*渣」
柧	{枛}
柩	<匛𠥂匶𠥬柾𣡛>
柫	<柭拂>
柬	<㪝揀簡>{東}_<練>
柭	<柫>
柮	<杌>
柯	<𣝺舸>_<軻>
柰	<奈㮏>_<耐>
柱	<砫>
柲	<㧙鉍䪐>_<閉>
柳	[栁桺⇀柳]<𣓠橮瘤>_「*綹-咮」
柴	<祡>_<㧘>
柵	[`柵⇋栅]<𣑭𥬰𨴕>
柷	<拀>
柸	<杯>
柹	[柹⇀柿]_<𣐈枾>
柺	[柺枴拐↛拐]<𣐶𣐷>
査	[査⇀查]<楂槎樝>
柽	[檉-柽]
柾	<柩>
柿	[柹⇀柿]<枾𣐈>
栀	[`梔⇋栀]
栁	[栁桺⇀柳]
栂	<梅>
