㗅	<胡>
㗆	<嗝>
㗈	<曼>
㗉	<䂮略剠鍔>「㓵」
㗊	<雷>
㗋	<喉>
㗌	<㗧>{咥}
㗍	<𪘨>
㗐	{嗑}
㗑	<唄>
㗒	{唉}
㗕	<雊>
㗖	<啖>「啗」
㗗	<𠕩𠮠>
㗘	<𠽢𪙍>
㗙	<謅>
㗛	<笑>
㗜	<嗅>
㗣	<嚏>
㗤	<嘁𡂔𡄱>
㗧	<㗌>
㗨	<𧥤>
㗬	<𡖹>
㗱	<𩀖>
㗲	[㗲-𠵾]<㕷咟>
㗴	<𪙨𤡥>
㗵	{欻}
㗶	{𠷑}
㗷	（㘔）
㗼	<𡁖㱉>
㗽	<響>
㗿	<㰤>{岈}
㘃	<喏>
㘅	<銜>
㘈	<懝譺>
㘉	<唧>
㘊	<喅>
㘋	<礥>
㘌	<噱>
㘎	[㘚-㘎]
㘑	<囇>
㘓	[㘓-𪢌]<囒讕>
㘕	<喊婪>_{嚂}
㘙	<𡆑>
㘚	[㘚-㘎]
㘛	<嵌>
㘜	<雔>
㘝	<𡆣囡𡆴𡇄𢬻>{囚}
㘡	<柙>
㘥	<𡈫囮>
㘧	<序>{垿}
㘩	{坒}
㘪	<耗>
㘫	<阱>
㘬	<坳物>{佛}
㘭	[㘭⇀坳]
㘯	{場}
㘰	<𡉜>
㘱	<坍>
㘲	<阸>「𨸰」
㘳	<丘>
㘴	<坐>
㘶	<桀>
㘷	<艾>
㘸	<坐葬>
㘹	<垐>{堲}
㘺	<垡>
㘻	<堙>{垔}
㘽	<栽>{在}
㘿	<圼𡍤涅>
㙀	<畂>
㙁	<𡎧坶>{塺}
㙄	<陛>
㙅	<堡>{保}
㙈	{罅}
㙉	<腆>
㙊	<場㙣>
㙍	{𡌭}
㙏	<𥨍>
㙐	<垛>
㙑	<宇>
㙒	<野>
㙔	<煒韓>
㙕	<塊>
㙙	<𡔆>_<㴳㴳>
㙚	<垶>
㙞	<𡎏>
㙟	<塱>
㙠	<曀>「-㙪」
㙢	<墁>
㙣	<㙊>
㙤	<𡨄罅>_<𨻲>
㙧	<塯>
㙨	<畿>
㙪	<𡏃>
